name	term	lev	seq	value
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora17090	0.217047115040141
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora18128	0.207706071255003
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora26528	-0.147280335632559
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora26843	0.184680723954691
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora26859	0.0683430561319524
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora26874	-0.114567149311105
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora12941	-0.20214832877916
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora15138	-2.71193257487816
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora15161	-0.143817423500281
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora24902	0.0805970841187017
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora26106	-0.261871450566888
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora26233	0.191606127139556
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora00048	0.208023890839314
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora00953	-0.482327299089409
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora01131	-0.427214444470693
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora02592	0.98677573958595
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora03248	0.0560254047682503
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora04457	0.124151974041401
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora21912	-0.139165177378516
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora22982	0.530000698206804
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora23280	-0.0122147301322934
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora10023	0.297425211342696
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora06591	-0.344316242507667
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora06715	0.0686250297835475
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora07746	-0.131004969081448
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora08308	0.507502262198223
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora08514	-0.52121489642845
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora08557	0.0132031699450901
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora18829	-0.0693792502891054
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora18847	-0.365437122562059
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora19694	0.0225083739355122
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora12220	-0.0777733797956096
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora12363	-0.179242063098444
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora12841	-0.0203106547008965
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora31480	-0.577999080345485
"H4 histone acetyltransferase complex"	GO:1902562	6	Amillepora31482	-0.597073607566759
"nephrocyte diaphragm"	GO:0005917	3	Amillepora01235	-0.148437399734617
"nephrocyte diaphragm"	GO:0005917	3	Amillepora01243	-0.56421125823394
"nephrocyte diaphragm"	GO:0005917	3	Amillepora01242	-0.634139801534298
"nephrocyte diaphragm"	GO:0005917	3	Amillepora01249	0.251046736374569
"nephrocyte diaphragm"	GO:0005917	3	Amillepora05936	0.0669469661644396
"clathrin adaptor complex"	GO:0030131	4	Amillepora13322	-0.434031785009217
"clathrin adaptor complex"	GO:0030131	4	Amillepora25170	-0.601644790184849
"clathrin adaptor complex"	GO:0030131	4	Amillepora25174	-0.858669519788388
"clathrin adaptor complex"	GO:0030131	4	Amillepora26002	-0.438960440062271
"clathrin adaptor complex"	GO:0030131	4	Amillepora26067	-0.798898202865719
"clathrin adaptor complex"	GO:0030131	4	Amillepora00512	-0.0757798323273752
"clathrin adaptor complex"	GO:0030131	4	Amillepora00514	-0.402945986532198
"clathrin adaptor complex"	GO:0030131	4	Amillepora01071	-0.575370962468969
"clathrin adaptor complex"	GO:0030131	4	Amillepora20340	0.142683716872803
"clathrin adaptor complex"	GO:0030131	4	Amillepora24822	-0.205362356877718
"clathrin adaptor complex"	GO:0030131	4	Amillepora32202	-0.477382976902987
"clathrin adaptor complex"	GO:0030131	4	Amillepora34500	-1.24360953334696
"vesicle coat"	GO:0030120	4	Amillepora18543	-0.364750207507677
"vesicle coat"	GO:0030120	4	Amillepora13322	-0.434031785009217
"vesicle coat"	GO:0030120	4	Amillepora14876	-0.108004222765738
"vesicle coat"	GO:0030120	4	Amillepora25170	-0.601644790184849
"vesicle coat"	GO:0030120	4	Amillepora25174	-0.858669519788388
"vesicle coat"	GO:0030120	4	Amillepora25718	0.0578812607785903
"vesicle coat"	GO:0030120	4	Amillepora26002	-0.438960440062271
"vesicle coat"	GO:0030120	4	Amillepora00263	-0.112131418191781
"vesicle coat"	GO:0030120	4	Amillepora01071	-0.575370962468969
"vesicle coat"	GO:0030120	4	Amillepora01992	-0.241942102481104
"vesicle coat"	GO:0030120	4	Amillepora03064	-0.564993917530114
"vesicle coat"	GO:0030120	4	Amillepora04310	0.160903250737169
