GO:0044448	GO:0000228;GO:0044454	GO:0030424	GO:0031256	GO:0098798	GO:0099512;GO:0099081;GO:0099080	GO:0000793	GO:0044445	GO:0005615	GO:0044451	GO:0005929	GO:0043235	GO:0031252	GO:0005667	GO:0045335	GO:1904949	GO:0005759	GO:0001726	GO:0120038;GO:0044463	GO:0098687	GO:0014069;GO:0099572	GO:0043186;GO:0045495;GO:0060293	GO:1905368	GO:0044455	GO:0000776	GO:0030426;GO:0030427	GO:0030666	GO:0009897	GO:0032580	GO:0005769	GO:0031227	GO:0015630	GO:1902494	GO:0031594	GO:0030658	GO:0030141	GO:0043025;GO:0044297	GO:0045202	GO:0099503	GO:0098552	GO:0044431	GO:0071011;GO:0071013	GO:0005775;GO:0043202	GO:0005635	GO:0005930	GO:0000123;GO:0031248;GO:1902493	GO:0005741;GO:0031968;GO:0019867	GO:0098797	GO:0030018;GO:0031674	GO:0030055;GO:0005924;GO:0005925	GO:0012506;GO:0030659	GO:0030135;GO:0030136	GO:0031965	GO:0000139	GO:0005905	GO:0046930	GO:0015934	GO:0005700	GO:0030496	GO:0045121;GO:0098857;GO:0098589	GO:0000779	GO:0005765;GO:0098852	GO:1990234	GO:0043195;GO:0098793;GO:0043679;GO:0044306	GO:0005795	GO:0044433	GO:0030665	GO:0015629	GO:0016604	GO:0005794	GO:0044421	GO:0032993	GO:0005875	GO:0098802	GO:0005789;GO:0044432;GO:0042175	GO:0043296	GO:0005876	GO:0031012	GO:0098805	GO:0042470;GO:0048770	GO:0000785	GO:0031967;GO:0031975	GO:0044420	GO:0009986	GO:0005798	GO:0030016;GO:0030017	GO:0016324	GO:0000775	GO:0005681	GO:0030662	GO:0044427;GO:0005694	GO:0099513	GO:0016323	GO:0043005	GO:1902495;GO:1990351	GO:0005815;GO:0005813	GO:0000323;GO:0005773;GO:0005764	GO:0008021;GO:0070382	GO:0005887;GO:0031226	GO:0055037	GO:0010008;GO:0044440	GO:0045211	GO:0097223	GO:0005777;GO:0042579	GO:0048471	GO:0044441;GO:0031514	GO:0005840;GO:0044391	GO:0098791;GO:0031984	GO:0005768	GO:0005730	GO:0005802	GO:0000922	GO:0043204	GO:0005912;GO:0070161	GO:0005770	GO:0098796	GO:0044429	GO:0000790	GO:0061695	GO:0032838	GO:0005740;GO:0031966	GO:0031985	GO:0045177	GO:0044456	GO:0019897;GO:0019898	GO:0009898;GO:0098562	GO:0043292;GO:0044449	GO:0005774;GO:0044437	GO:0097060	GO:0005819	GO:0030139	GO:0034702	GO:0005743;GO:0019866	GO:0035770;GO:0036464	GO:0033267	GO:0030133	GO:0000794	GO:0016363;GO:0034399	GO:0044450	GO:0016607	GO:1990904	GO:0030054	GO:0000151	GO:0000428;GO:0030880;GO:0016591;GO:0055029	GO:0005788	GO:0031253	GO:0005874	GO:0005604;GO:0062023	GO:0034703	GO:0030027	GO:0005911	GO:0098862	GO:0030425	GO:0005938;GO:0099568	GO:0098590	GO:0098858	GO:0005811	GO:0005903	GO:0031300;GO:0031301	GO:0031902
0	0.957	0.843	0.895	1.000	0.671	0.943	1.000	1.000	0.957	0.871	1.000	0.786	1.000	0.986	1.000	1.000	0.891	0.557	0.943	0.914	1.000	1.000	1.000	0.939	0.857	0.953	0.986	1.000	0.929	0.923	0.714	0.957	0.945	0.971	0.929	0.871	0.743	0.900	0.943	0.871	1.000	1.000	0.914	0.968	0.982	0.943	0.914	0.887	0.968	0.900	0.957	0.943	0.886	1.000	1.000	1.000	1.000	0.943	0.929	0.943	0.971	0.986	0.957	0.986	0.871	1.000	0.457	0.971	0.829	0.900	1.000	0.886	1.000	0.914	0.892	0.920	0.986	0.843	0.965	0.971	0.886	1.000	0.957	1.000	0.843	0.800	0.943	1.000	1.000	0.900	0.814	0.886	0.586	1.000	0.886	0.914	0.971	0.843	1.000	0.971	1.000	0.967	0.971	0.843	0.886	1.000	0.914	0.886	0.857	0.971	0.986	0.980	0.786	0.986	0.914	0.943	0.971	1.000	0.984	0.943	0.986	0.629	0.814	0.943	0.955	0.843	0.943	0.957	0.871	0.957	1.000	1.000	0.986	0.843	0.943	0.985	0.910	0.966	1.000	0.986	0.729	1.000	1.000	1.000	0.857	0.914	0.986	1.000	0.886	0.800	0.957	0.843	0.000	0.557	0.900	0.957	1.000	0.943	1.000
0.957	0	0.988	1.000	0.981	0.950	0.359	0.935	0.992	0.689	0.996	0.991	1.000	0.844	1.000	0.462	0.978	1.000	0.954	0.630	0.950	0.855	0.981	0.976	0.727	1.000	1.000	1.000	1.000	0.985	1.000	0.842	0.689	1.000	0.957	0.959	0.959	0.975	0.966	1.000	0.996	0.983	1.000	0.950	1.000	0.836	0.987	1.000	0.952	0.984	0.982	0.989	0.937	1.000	1.000	1.000	0.960	0.653	0.924	1.000	0.623	1.000	0.842	0.988	1.000	0.979	0.962	0.955	0.892	0.954	0.975	0.400	0.954	1.000	0.992	1.000	0.920	0.990	0.975	1.000	0.357	0.942	0.980	0.996	1.000	0.965	1.000	0.670	0.986	0.973	0.000	0.947	1.000	0.954	1.000	0.934	0.996	0.981	0.996	1.000	0.990	1.000	0.950	1.000	0.934	1.000	0.954	0.996	0.988	0.822	0.991	0.889	0.941	0.992	1.000	0.988	0.975	0.000	0.874	1.000	0.992	1.000	0.996	0.975	1.000	1.000	0.973	1.000	1.000	0.911	1.000	1.000	0.974	0.900	0.994	0.984	0.000	0.821	0.931	0.958	0.929	0.971	0.923	0.900	1.000	1.000	0.938	0.973	1.000	1.000	0.982	1.000	0.963	0.975	0.996	1.000	0.981	1.000	0.992	1.000
0.843	0.988	0	0.632	1.000	0.851	0.977	0.989	0.959	0.963	0.898	0.694	0.764	0.987	0.870	0.954	0.989	0.844	0.305	0.959	0.588	1.000	1.000	0.940	0.924	0.452	0.875	0.795	0.964	0.872	0.962	0.872	0.966	0.709	0.857	0.878	0.549	0.546	0.833	0.804	0.902	1.000	1.000	0.925	0.984	1.000	0.960	0.838	0.823	0.790	0.890	0.776	0.958	0.933	0.885	1.000	1.000	0.987	0.823	0.766	0.962	0.973	0.990	0.012	0.929	0.905	0.887	0.864	0.958	0.823	0.860	0.980	0.942	0.779	0.927	0.862	0.760	0.834	0.902	0.930	0.990	0.893	0.798	0.767	0.903	0.825	0.917	0.934	1.000	0.920	0.966	0.833	0.821	0.000	0.787	0.925	0.961	0.748	0.701	0.769	0.942	0.620	0.967	1.000	0.854	0.913	0.989	0.921	0.866	0.976	0.865	0.926	0.549	0.733	0.943	0.857	0.942	0.983	0.983	0.836	0.945	0.915	0.828	0.588	0.809	0.821	0.865	0.979	0.588	0.872	0.864	0.737	0.961	1.000	0.190	0.803	0.985	0.970	0.931	0.990	0.994	0.820	1.000	0.988	0.967	0.823	0.839	0.919	0.803	0.773	0.794	0.970	0.456	0.874	0.686	0.797	0.962	0.983	0.983	0.981
0.895	1.000	0.632	0	1.000	0.754	1.000	0.982	0.982	0.947	0.860	0.947	0.035	0.982	1.000	1.000	1.000	0.614	0.000	0.982	0.930	1.000	1.000	0.965	0.982	0.877	0.982	0.930	1.000	0.947	1.000	0.842	0.982	0.964	0.982	0.965	0.632	0.789	0.895	0.842	0.930	1.000	1.000	0.930	1.000	1.000	0.965	0.930	0.982	0.930	0.930	0.860	0.965	0.930	0.982	1.000	1.000	1.000	1.000	0.860	1.000	1.000	0.982	0.877	1.000	0.947	0.962	0.754	0.982	0.807	0.825	1.000	0.947	0.947	0.982	0.965	0.980	0.895	0.930	0.982	1.000	0.860	0.895	0.632	0.982	0.912	0.842	0.982	1.000	0.965	0.982	0.842	0.895	0.263	0.912	0.947	1.000	0.930	0.526	1.000	1.000	0.930	0.930	1.000	0.789	0.877	0.982	0.982	0.912	0.930	0.982	1.000	0.922	0.754	1.000	0.877	0.930	1.000	0.982	0.982	0.930	1.000	0.754	0.807	0.947	0.912	0.912	1.000	0.860	0.965	0.912	0.912	0.965	1.000	0.737	0.912	1.000	0.965	1.000	1.000	0.982	0.667	1.000	0.982	1.000	0.070	0.930	0.965	0.912	0.737	0.842	0.912	0.719	0.737	0.070	0.825	0.982	1.000	1.000	1.000
1.000	0.981	1.000	1.000	0	0.981	1.000	0.968	1.000	0.990	1.000	1.000	1.000	1.000	1.000	1.000	0.398	1.000	1.000	1.000	1.000	1.000	1.000	0.417	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.825	0.612	1.000	1.000	0.981	0.971	0.990	0.981	1.000	1.000	1.000	1.000	0.981	1.000	1.000	0.907	1.000	1.000	1.000	1.000	1.000	0.981	1.000	1.000	0.980	0.600	1.000	1.000	1.000	1.000	1.000	0.971	1.000	1.000	1.000	1.000	1.000	0.990	0.981	1.000	1.000	0.864	1.000	0.990	1.000	1.000	1.000	0.932	1.000	0.981	0.408	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.981	0.981	1.000	0.990	0.971	0.981	1.000	1.000	0.971	1.000	1.000	1.000	0.967	1.000	1.000	1.000	0.632	1.000	1.000	0.932	1.000	1.000	1.000	1.000	1.000	0.515	0.000	0.981	1.000	1.000	0.427	1.000	1.000	0.990	0.989	1.000	1.000	1.000	0.990	0.981	1.000	1.000	0.476	1.000	1.000	1.000	1.000	1.000	0.966	0.990	0.689	0.981	1.000	1.000	1.000	1.000	0.981	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.990	1.000	0.806	1.000	0.971	1.000
0.671	0.950	0.851	0.754	0.981	0	0.891	0.903	0.983	0.943	0.906	0.972	0.752	0.961	0.899	1.000	0.978	0.656	0.733	0.870	0.887	1.000	0.962	0.952	0.742	0.871	0.984	0.889	1.000	0.925	0.923	0.527	0.916	0.891	0.971	0.939	0.865	0.855	0.936	0.908	0.943	0.966	1.000	0.946	0.794	0.945	0.933	0.967	0.000	0.758	0.952	0.920	0.944	0.963	0.902	0.980	0.980	0.973	0.696	0.871	0.830	0.964	0.970	0.840	1.000	0.939	0.962	0.565	0.964	0.858	0.885	0.980	0.794	0.961	0.956	0.908	0.000	0.927	0.926	0.860	0.966	0.922	0.960	0.928	0.968	0.000	0.869	0.813	0.972	0.960	0.882	0.000	0.862	0.760	0.984	0.787	0.968	0.942	0.895	0.942	0.961	0.960	0.783	0.988	0.821	0.847	0.989	0.960	0.919	0.953	0.946	0.716	0.922	0.687	0.943	0.929	0.953	0.957	0.983	0.918	0.966	1.000	0.820	0.892	0.955	0.940	0.000	0.968	0.882	0.635	0.932	0.979	0.969	0.980	0.833	0.962	0.896	0.896	0.776	0.969	0.976	0.801	0.967	0.975	0.989	0.838	0.000	0.973	0.967	0.880	0.806	0.840	0.889	0.787	0.780	0.811	0.911	0.867	0.967	0.943
0.943	0.359	0.977	1.000	1.000	0.891	0	1.000	0.992	0.844	0.977	1.000	0.992	0.969	1.000	0.969	0.984	1.000	0.930	0.445	0.963	0.871	0.981	1.000	0.273	1.000	1.000	1.000	1.000	0.984	1.000	0.641	0.891	1.000	0.957	0.969	0.969	0.945	0.953	1.000	0.984	0.991	1.000	0.852	0.968	0.982	0.987	1.000	0.952	0.984	0.969	0.984	0.922	1.000	1.000	0.824	1.000	0.840	0.924	1.000	0.000	1.000	0.922	0.975	1.000	0.961	0.962	0.922	0.914	0.938	0.953	0.920	0.891	1.000	0.977	1.000	0.840	0.992	0.953	1.000	0.719	0.852	0.990	0.984	1.000	0.974	0.992	0.330	0.992	0.973	0.000	0.914	1.000	0.938	1.000	0.836	1.000	0.981	0.992	1.000	0.984	1.000	0.950	1.000	0.852	0.977	1.000	0.984	0.969	0.891	0.982	0.790	0.980	0.992	1.000	0.922	0.984	0.843	0.975	0.984	1.000	1.000	0.984	0.953	0.989	1.000	0.977	1.000	1.000	0.781	1.000	1.000	0.977	0.920	0.984	0.977	0.000	0.896	0.948	0.979	0.922	0.969	0.978	0.975	1.000	0.992	0.902	0.986	1.000	1.000	0.984	1.000	0.969	0.945	0.977	1.000	0.984	1.000	0.992	1.000
1.000	0.935	0.989	0.982	0.968	0.903	1.000	0	1.000	0.935	1.000	0.968	0.978	0.946	0.986	1.000	1.000	0.984	0.935	1.000	1.000	1.000	0.981	0.976	1.000	0.989	1.000	1.000	1.000	1.000	1.000	0.828	0.871	1.000	0.986	0.968	0.871	0.957	0.946	0.989	0.978	1.000	1.000	0.957	1.000	1.000	0.960	0.989	1.000	1.000	0.978	0.968	0.978	0.978	1.000	0.980	0.400	1.000	0.987	0.978	1.000	1.000	0.892	1.000	1.000	0.968	0.981	1.000	0.989	0.925	0.989	1.000	0.882	0.987	0.968	1.000	1.000	0.989	0.935	0.965	0.978	0.914	0.989	1.000	1.000	0.989	1.000	1.000	1.000	0.987	0.935	0.914	1.000	0.935	1.000	0.946	1.000	0.978	0.989	0.981	0.978	1.000	0.883	0.976	0.946	1.000	0.471	1.000	0.946	0.806	1.000	1.000	0.980	1.000	0.989	0.914	0.957	0.978	0.892	0.967	0.957	1.000	1.000	0.957	0.989	0.985	0.989	1.000	0.989	0.946	0.978	1.000	0.968	0.989	0.978	0.968	1.000	0.970	0.948	1.000	0.505	0.968	1.000	0.975	1.000	0.978	0.925	0.986	1.000	1.000	0.989	0.978	0.946	0.968	0.957	1.000	0.935	0.967	1.000	1.000
1.000	0.992	0.959	0.982	1.000	0.983	0.992	1.000	0	0.997	0.992	0.944	0.981	0.994	0.797	1.000	0.978	0.969	0.911	1.000	0.963	1.000	1.000	0.988	1.000	1.000	1.000	0.821	1.000	0.902	0.962	0.969	0.993	0.891	0.986	0.755	0.907	0.948	0.846	0.880	0.897	0.991	0.754	0.958	1.000	1.000	0.987	0.981	1.000	0.952	0.956	0.971	0.993	0.973	0.852	0.980	1.000	1.000	0.975	0.823	1.000	0.991	1.000	0.988	0.984	0.914	1.000	1.000	1.000	0.838	0.000	1.000	0.978	0.961	0.804	0.892	1.000	0.624	0.918	0.754	0.990	0.959	0.657	0.746	0.968	0.965	0.893	1.000	0.993	0.987	0.986	0.993	0.919	0.907	1.000	0.997	0.863	1.000	0.869	0.904	0.971	0.990	0.817	0.988	0.897	0.987	1.000	0.947	0.893	0.979	0.910	1.000	0.784	0.977	0.906	0.955	0.983	0.983	1.000	0.967	0.993	0.979	0.904	0.983	0.854	0.985	0.973	0.868	0.993	1.000	0.823	1.000	0.996	1.000	0.988	0.934	1.000	1.000	1.000	1.000	0.990	0.940	1.000	1.000	0.678	0.969	0.991	0.635	1.000	0.987	0.915	0.990	0.938	0.992	0.911	0.878	0.924	0.983	0.983	1.000
0.957	0.689	0.963	0.947	0.990	0.943	0.844	0.935	0.997	0	0.984	0.963	0.917	0.000	1.000	0.754	0.995	0.953	0.957	0.774	0.950	0.871	0.736	0.988	0.909	0.957	1.000	1.000	1.000	0.992	1.000	0.899	0.583	0.964	0.971	0.980	0.974	0.965	0.979	0.984	0.987	0.667	1.000	0.904	1.000	0.018	0.987	0.995	0.903	0.952	0.987	0.983	0.866	0.988	0.967	0.961	1.000	0.480	0.975	0.976	0.943	0.982	0.502	0.988	1.000	0.982	0.943	0.916	0.000	0.966	0.983	0.540	0.921	1.000	0.998	0.969	0.960	0.990	0.982	0.965	0.614	0.945	0.990	0.993	0.968	0.930	0.988	0.923	0.678	0.960	0.704	0.947	0.984	0.953	1.000	0.947	0.982	0.981	0.994	0.962	0.981	0.960	0.967	0.988	0.942	0.987	0.989	0.978	0.985	0.793	0.955	0.938	1.000	0.954	0.991	0.987	0.989	0.565	0.361	0.984	0.984	1.000	0.980	0.971	0.989	0.955	0.932	0.989	0.971	0.921	0.993	1.000	0.965	0.920	0.970	0.989	0.851	0.731	0.966	0.000	0.823	0.959	0.923	0.150	1.000	0.969	0.964	0.986	1.000	0.933	0.945	1.000	0.953	0.949	0.975	0.932	0.975	1.000	0.992	0.981
