chr	start	end	name	mrF-L5-s1_S10	mrF-L5-s2_S11	mrF-L5-s3_S12	mrF-L5-t1_S7	mrF-L5-t2_S8	mrF-L5-t3_S9	mrF-N12-s1_S4	mrF-N12-s2_S5	mrF-N12-s3_S6	mrF-N12-t1_S1	mrF-N12-t2_S2	mrF-N12-t3_S3	mrM-L5-s1_S22	mrM-L5-s2_S23	mrM-L5-s3_S24	mrM-L5-t1_S19	mrM-L5-t2_S20	mrM-L5-t3_S21	mrM-N12-s1_S16	mrM-N12-s2_S17	mrM-N12-s3_S18	mrM-N12-t1_S13	mrM-N12-t2_S14	mrM-N12-t3_S15	
chr1	106582	106784	LTR_1	39	48	21	20	23	22	21	3	0	7	4	7	23	26	13	23	14	24	7	1	1	10	1	13
chr1	106582	106784	LTR_2	39	48	21	20	23	22	21	3	0	7	4	7	23	26	13	23	14	24	7	1	1	10	1	13
chr1	202543	202655	LTR_3	18	12	22	13	18	23	18	26	29	38	29	29	5	5	8	6	1	10	4	6	4	5	5	9
chr1	202543	202655	LTR_4	18	12	22	13	18	23	18	26	29	38	29	29	5	5	8	6	1	10	4	6	4	5	5	9
chr1	347224	347447	LTR_5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
chr1	347224	347447	LTR_6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
chr1	350157	352394	LTR_7	69	22	0	1	0	6	10	3	1	1	4	1	29	15	11	12	9	17	17	12	11	16	18	39
chr1	350157	352394	LTR_8	69	22	0	1	0	6	10	3	1	1	4	1	29	15	11	12	9	17	17	12	11	16	18	39
chr1	352937	353319	LTR_9	5	7	10	6	10	8	11	13	6	6	12	9	8	4	4	5	3	4	5	7	3	6	1	13
chr1	352937	353319	LTR_10	5	7	10	6	10	8	11	13	6	6	12	9	8	4	4	5	3	4	5	7	3	6	1	13
chr1	374884	374955	LTR_11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
