# Program:featureCounts v1.6.3; Command:"/work/02260/grovesd/stampede2/subread-1.6.3-source/bin/featureCounts" "-a" "/work/02260/grovesd/lonestar/Amil_Zach_Fullers_v2.00/Amil.coding.gff3" "-t" "gene" "-g" "ID" "-o" "rnaseq_gene_counts.txt" "-T" "64" "--primary" "L5-S1_S216_host.bam" "L5-S2_S217_host.bam" "L5-S3_S218_host.bam" "L5-T1_S222_host.bam" "L5-T2_S223_host.bam" "L5-T3_S224_host.bam" "N12-S1_S219_host.bam" "N12-S2_S220_host.bam" "N12-S3_S221_host.bam" "N12-T1_S225_host.bam" "N12-T2_S226_host.bam" "N12-T3_S227_host.bam" 
Geneid	Chr	Start	End	Strand	Length	L5-S1_S216_host.bam	L5-S2_S217_host.bam	L5-S3_S218_host.bam	L5-T1_S222_host.bam	L5-T2_S223_host.bam	L5-T3_S224_host.bam	N12-S1_S219_host.bam	N12-S2_S220_host.bam	N12-S3_S221_host.bam	N12-T1_S225_host.bam	N12-T2_S226_host.bam	N12-T3_S227_host.bam
Amillepora16770	chr10	78574	86389	+	7816	284	154	157	172	185	278	192	167	114	149	130	144
Amillepora16769	chr10	56203	78368	-	22166	167	91	107	157	138	189	146	143	132	125	129	136
Amillepora16774	chr10	129293	169672	-	40380	725	441	566	670	643	836	485	574	383	464	472	460
Amillepora16773	chr10	116856	127301	-	10446	519	238	370	463	433	502	486	462	306	477	322	430
Amillepora16771	chr10	90029	110622	-	20594	613	348	543	675	522	637	345	390	369	355	339	386
Amillepora16778	chr10	201101	205740	+	4640	6	3	6	7	8	7	6	3	4	3	4	12
Amillepora16777	chr10	171170	197798	-	26629	511	341	359	508	450	584	457	489	379	564	463	563
Amillepora16779	chr10	207171	226252	-	19082	290	184	206	278	321	326	195	206	170	218	218	208
Amillepora16782	chr10	270177	271009	-	833	0	0	0	0	1	1	0	0	0	0	1	1
Amillepora16781	chr10	269654	270159	-	506	1	0	0	0	0	0	0	0	0	0	0	0
Amillepora16780	chr10	268976	269380	-	405	0	0	0	0	0	0	0	0	0	0	0	0
