chr	start	end	name	nM	nU	NcpgMeasured	Nmcpg	mCpG_per_CpG	fracMeth	mnMeth	medMeth	sdMeth	stdErrMeth	maxMeth	minMeth
chr10	78574	78624	Amillepora16770-RA:five_prime_utr	5	249	39	2	0.05128205128205128	0.01968503937007874	1.5163442795021744	0	4.9360047109239185	0.7903933215334605	25	0
chr10	78279	78368	Amillepora16769-RA:five_prime_utr	3	73	21	2	0.09523809523809523	0.039473684210526314	4.761904761904762	0	15.936381457791923	3.4776035397153415	66.6666666666667	0
chr10	168826	169672	Amillepora16774-RA:five_prime_utr	71	4039	690	30	0.043478260869565216	0.01727493917274939	1.9532600354906595	0	9.27813683246454	0.35321263268301106	100	0
chr10	167514	167594	Amillepora16774-RA:five_prime_utr	95	4	15	12	0.8	0.9595959595959596	79.55555555555556	100	41.209235108177616	10.64017875226119	100	0
chr10	166704	166855	Amillepora16774-RA:five_prime_utr	54	0	15	15	1	1	100	100	0	0	100	100
chr10	164158	164229	Amillepora16774-RA:five_prime_utr	16	3	12	9	0.75	0.8421052631578947	75	100	45.22670168666454	13.055824196677337	100	0
chr10	162898	162953	Amillepora16774-RA:five_prime_utr	0	1	1	0	0	0	0	0	NA	NA	0	0
chr10	162469	162580	Amillepora16774-RA:five_prime_utr	352	21	64	64	1	0.9436997319034852	95.11577831890332	100	10.110857583777785	1.2638571979722222	100	57.1428571428571
chr10	161553	161692	Amillepora16774-RA:five_prime_utr	100	3	17	17	1	0.970873786407767	96.91176470588235	100	9.981600720384305	2.4208937695815185	100	60
chr10	161319	161385	Amillepora16774-RA:five_prime_utr	248	8	22	22	1	0.96875	97.39656177156178	100	5.4637257565844655	1.1648702452744075	100	80
chr10	160573	160681	Amillepora16774-RA:five_prime_utr	248	9	55	54	0.9818181818181818	0.9649805447470817	96.13203463203463	100	14.365807823166412	1.9370851317104298	100	0
chr10	159627	159833	Amillepora16774-RA:five_prime_utr	328	14	33	30	0.9090909090909091	0.9590643274853801	87.56776495267543	100	29.025276268175976	5.052652056230619	100	0
chr10	158849	158985	Amillepora16774-RA:five_prime_utr	44	0	20	20	1	1	100	100	0	0	100	100
chr10	158440	158627	Amillepora16774-RA:five_prime_utr	558	46	68	63	0.9264705882352942	0.9238410596026491	85.17304590834003	100	27.449750517902835	3.3287711994754834	100	0
chr10	157533	157634	Amillepora16774-RA:five_prime_utr	70	14	35	34	0.9714285714285714	0.8333333333333334	87.0408163265306	100	26.27908906189586	4.4419767862101835	100	0
chr10	156801	156864	Amillepora16774-RA:five_prime_utr	48	14	15	13	0.8666666666666667	0.7741935483870968	70.55555555555556	100	38.35748031735526	9.903858831439713	100	0
chr10	156277	156400	Amillepora16774-RA:five_prime_utr	114	28	19	17	0.8947368421052632	0.8028169014084507	73.10512243174782	80	30.94153483643823	7.098474921583028	100	0
chr10	156095	156195	Amillepora16774-RA:five_prime_utr	69	10	16	16	1	0.8734177215189873	89.43452380952381	100	16.944370097602768	4.236092524400692	100	42.8571428571429
chr10	154967	155123	Amillepora16774-RA:five_prime_utr	19	133	19	6	0.3157894736842105	0.125	14.085312337264147	8.69565217391304	21.936215737152548	5.032513031681816	75	0
chr10	154036	154177	Amillepora16774-RA:five_prime_utr	6	281	43	3	0.06976744186046512	0.020905923344947737	4.983388704318937	0	18.703047994619862	2.852188080041618	100	0
chr10	153527	153682	Amillepora16774-RA:five_prime_utr	13	507	76	5	0.06578947368421052	0.025	2.365143320821991	0	6.826118178305901	0.7830094556816151	33.3333333333333	0
chr10	152640	152751	Amillepora16774-RA:five_prime_utr	0	118	13	0	0	0	0	0	0	0	0	0
chr10	150480	150521	Amillepora16774-RA:five_prime_utr	1	38	14	1	0.07142857142857142	0.02564102564102564	2.3809523809523787	0	8.90870806374747	2.3809523809523787	33.3333333333333	0
chr10	150329	150403	Amillepora16774-RA:five_prime_utr	5	153	29	2	0.06896551724137931	0.03164556962025317	8.308702791461414	0	25.759781561159667	4.783471348366529	100	0
chr10	150063	150146	Amillepora16774-RA:five_prime_utr	4	498	80	3	0.0375	0.00796812749003984	1.0833333333333337	0	4.818068430777712	0.5386764265732356	25	0
chr10	148986	149093	Amillepora16774-RA:five_prime_utr	16	364	47	7	0.14893617021276595	0.042105263157894736	6.159458931015482	0	16.32022879200063	2.380550033988865	100	0
chr10	148247	148351	Amillepora16774-RA:five_prime_utr	20	659	83	7	0.08433734939759036	0.029455081001472753	6.173525269910813	0	20.513880216378396	2.2516908814679253	100	0
chr10	146780	147717	Amillepora16774-RA:five_prime_utr	84	5156	591	20	0.0338409475465313	0.01603053435114504	1.5101586165920786	0	6.985806852230192	0.2873576963399415	100	0
chr10	127157	127301	Amillepora16773-RA:five_prime_utr	2	446	62	0	0	0.004464285714285714	0.25616698292220114	0	1.4628376964189422	0.18578057322587166	10	0
chr10	110531	110622	Amillepora16771-RA:five_prime_utr	0	137	29	0	0	0	0	0	0	0	0	0
chr10	201101	201220	Amillepora16778-RA:five_prime_utr	16	894	125	8	0.064	0.017582417582417582	3.03077367077367	0	11.702021576406775	1.0466606287605924	100	0
chr10	197530	197798	Amillepora16777-RA:five_prime_utr	52	2160	209	11	0.05263157894736842	0.023508137432188065	2.910638084753809	0	10.716949372644036	0.7413068889578319	100	0
