chr	start	stop	name	mrF-L5-s1_S10	mrF-L5-s2_S11	mrF-L5-s3_S12	mrF-L5-t1_S7	mrF-L5-t2_S8	mrF-L5-t3_S9	mrF-N12-s1_S4	mrF-N12-s2_S5	mrF-N12-s3_S6	mrF-N12-t1_S1	mrF-N12-t2_S2	mrF-N12-t3_S3	mrM-L5-s1_S22	mrM-L5-s2_S23	mrM-L5-s3_S24	mrM-L5-t1_S19	mrM-L5-t2_S20	mrM-L5-t3_S21	mrM-N12-s1_S16	mrM-N12-s2_S17	mrM-N12-s3_S18	mrM-N12-t1_S13	mrM-N12-t2_S14	mrM-N12-t3_S15	
chr10	78324	78824	Amillepora16770	3	3	2	0	0	0	2	0	0	0	0	1	5	3	2	1	2	2	0	0	2	0	0	1
chr10	78118	78618	Amillepora16769	2	3	2	0	0	0	3	0	0	0	0	2	3	5	2	1	1	0	3	0	1	1	0	1
chr10	169422	169922	Amillepora16774	18	2	0	0	0	0	8	0	0	0	2	0	7	3	1	3	0	4	4	0	1	2	2	4
chr10	127051	127551	Amillepora16773	4	0	0	0	0	0	1	0	0	0	0	0	0	2	0	3	0	1	1	0	0	2	1	2
chr10	110372	110872	Amillepora16771	0	0	0	0	0	0	0	0	0	2	0	0	1	1	1	0	2	3	3	0	0	0	1	3
chr10	200851	201351	Amillepora16778	8	3	1	0	0	0	2	0	0	2	0	0	3	2	1	0	1	1	0	0	0	1	0	1
chr10	197548	198048	Amillepora16777	10	2	0	0	1	0	4	0	0	0	2	0	4	2	1	1	1	1	1	0	0	0	3	1
chr10	226002	226502	Amillepora16779	0	0	0	1	0	0	2	1	0	2	2	0	1	1	0	1	0	1	5	1	0	1	0	2
chr10	270759	271259	Amillepora16782	14	7	0	1	3	3	4	1	0	3	10	3	2	0	1	1	0	3	2	0	1	2	2	0
chr10	269909	270409	Amillepora16781	31	16	0	4	0	1	10	0	0	1	4	3	8	5	5	3	4	2	0	0	0	1	5	6
chr10	269130	269630	Amillepora16780	54	13	1	4	1	2	9	0	1	0	5	5	5	3	1	2	1	2	3	0	1	0	5	0
chr10	271231	271731	Amillepora16783	74	18	0	8	1	4	15	1	2	8	10	3	9	5	1	2	1	3	2	0	1	6	3	5
chr10	355187	355687	Amillepora16793	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	1	1	1	0	0	0	0
chr10	290196	290696	Amillepora16784	3	0	0	0	0	0	1	0	0	0	1	0	6	1	1	1	0	1	0	0	0	1	0	2
chr10	377528	378028	Amillepora16795	15	1	0	0	0	0	0	0	0	0	4	1	8	2	1	1	0	2	6	0	1	0	2	0
chr10	313981	314481	Amillepora16787	6	1	0	0	0	0	1	0	0	0	0	1	3	0	1	0	1	0	2	0	0	0	0	0
chr10	374035	374535	Amillepora16794	1	0	0	2	0	1	2	3	0	2	0	0	6	3	0	0	0	0	2	1	0	2	2	1
chr10	348050	348550	Amillepora16792	6	1	0	0	0	0	3	0	1	1	0	2	2	3	1	1	0	1	4	1	0	3	1	1
chr10	340219	340719	Amillepora16791	2	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	3	0	0	1	1	0	2
chr10	326583	327083	Amillepora16790	3	2	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	1	0	0	1	2	1
chr10	319299	319799	Amillepora16788	2	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	1
chr10	321716	322216	Amillepora16789	1	0	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	1	0	1	0	0	0
chr10	307057	307557	Amillepora16785	3	0	0	0	0	0	1	0	0	2	0	0	3	0	0	1	1	0	2	0	0	0	2	1
chr10	379570	380070	Amillepora16796	36	8	0	12	0	0	8	0	0	3	2	2	14	6	4	3	1	0	8	3	1	7	2	5
chr10	427026	427526	Amillepora16800	14	16	33	28	29	31	13	26	28	16	27	24	22	21	22	20	12	26	25	16	14	18	19	41
chr10	407452	407952	Amillepora16798	9	0	0	0	0	0	2	0	0	1	0	0	4	4	2	3	2	0	7	1	0	0	0	1
chr10	407032	407532	Amillepora16797	4	0	2	0	0	2	1	0	0	2	2	0	5	1	1	3	3	0	3	2	0	0	1	6
chr10	454196	454696	Amillepora16801	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	1	0	0	0
chr10	499576	500076	Amillepora16804	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	3	0	1	2	0	0	5	1	2
chr10	551799	552299	Amillepora16812	1	2	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	2	0	2	1	0	2
chr10	523967	524467	Amillepora16808	7	0	0	0	0	0	0	1	0	0	1	0	3	3	1	0	0	0	2	1	1	1	2	1
chr10	578511	579011	Amillepora16815	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	2	1	1	2	1	0
chr10	508778	509278	Amillepora16806	15	1	0	0	0	0	2	0	0	2	3	0	4	1	0	1	1	1	4	1	0	1	1	0
chr10	560343	560843	Amillepora16813	16	12	0	0	0	1	2	0	0	1	6	1	4	1	1	1	0	0	3	0	2	3	2	3
chr10	523888	524388	Amillepora16807	9	1	0	1	1	1	0	1	0	0	3	0	3	4	1	0	0	0	4	1	2	1	1	1
chr10	577569	578069	Amillepora16814	4	0	0	0	0	0	0	0	0	0	2	0	4	0	1	1	2	0	8	1	0	2	3	1
chr10	551705	552205	Amillepora16811	1	2	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	3	0	1	0	0	0
chr10	508363	508863	Amillepora16805	3	0	0	0	0	0	0	0	0	1	2	0	4	3	0	0	0	2	4	0	0	0	0	0
chr10	534520	535020	Amillepora16809	2	0	0	0	0	0	2	0	0	0	0	0	3	0	1	2	0	0	3	2	1	0	0	2
chr10	467087	467587	Amillepora16802	6	0	0	0	0	0	0	0	0	0	0	2	4	2	1	2	0	3	5	0	1	2	0	1
chr10	498104	498604	Amillepora16803	1	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	1	3	0	0	0	2	1
chr10	539794	540294	Amillepora16810	353	374	514	462	463	485	355	394	294	383	313	412	31	24	8	9	4	13	24	6	7	12	0	22
chr10	602368	602868	Amillepora16817	3	0	0	0	0	0	0	0	0	0	3	0	4	0	1	0	1	2	1	1	1	2	0	1
chr10	610839	611339	Amillepora16818	4	0	0	0	0	0	0	0	0	0	0	0	4	2	1	0	0	1	2	1	1	0	0	3
chr10	670162	670662	Amillepora16824	6	0	0	2	0	0	3	0	2	0	4	0	4	1	0	1	1	0	4	0	1	3	1	3
chr10	591550	592050	Amillepora16816	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	1	0	1	0	1
chr10	662517	663017	Amillepora16823	2	0	0	0	0	0	4	0	0	2	0	0	0	1	0	2	0	0	2	0	2	0	0	0
chr10	653535	654035	Amillepora16822	10	0	0	0	0	0	1	0	0	0	2	0	0	1	0	3	0	0	0	0	0	1	0	1
chr10	650342	650842	Amillepora16821	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	5	0	1	3	0	0	1	0	0
chr10	616770	617270	Amillepora16819	8	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	0	0	0	0	1
chr10	631681	632181	Amillepora16820	31	8	0	2	0	0	2	0	0	4	6	2	1	1	2	1	0	0	7	1	2	1	3	2
chr10	699184	699684	Amillepora16826	7	2	0	0	0	0	0	0	0	1	0	0	3	2	1	3	1	2	2	1	1	1	1	2
chr10	677308	677808	Amillepora16825	3	0	1	0	0	0	1	0	0	0	4	1	1	0	0	1	1	0	2	2	1	0	1	6
chr10	809125	809625	Amillepora16830	1	2	0	0	0	0	0	0	0	0	0	0	3	1	0	1	3	3	4	1	2	2	0	2
chr10	829994	830494	Amillepora16831	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	2	1	0	0	1	2
chr10	807198	807698	Amillepora16829	104	77	73	35	45	77	36	91	84	48	40	31	61	56	35	47	22	51	53	30	39	32	33	71
chr10	853809	854309	Amillepora16833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
chr10	915459	915959	Amillepora16841	39	45	36	39	23	30	10	0	1	1	2	6	48	30	18	33	16	31	3	1	1	3	2	4
chr10	954979	955479	Amillepora16843	0	2	1	0	2	2	1	3	4	1	2	2	7	2	2	3	3	6	3	0	1	0	0	3
chr10	908497	908997	Amillepora16840	3	2	4	2	4	2	3	0	0	0	5	0	10	4	6	3	3	7	5	3	5	3	4	11
chr10	958400	958900	Amillepora16844	206	178	244	188	200	289	168	206	283	188	226	174	74	59	42	35	30	71	43	24	49	25	30	82
chr10	962575	963075	Amillepora16845	212	178	392	324	322	410	213	336	302	279	437	337	78	78	57	65	26	80	62	21	35	43	43	98
chr10	881783	882283	Amillepora16836	2	0	0	0	0	0	0	0	1	0	0	0	1	1	1	3	1	1	2	0	0	1	0	1
