"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 9 "GO:0000109" "nucleotide-excision repair complex" 1
0 1 2 40 "GO:0000118" "histone deacetylase complex" 1
0 1 2 64 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 1
0 1 2 16 "GO:0000124" "SAGA complex" 1
0 1 2 5 "GO:0000125" "PCAF complex" 1
0 1 2 5 "GO:0000131" "incipient cellular bud site" 1
0 1 3 7 "GO:0000137" "Golgi cis cisterna" 1
0 1 3 7 "GO:0000138" "Golgi trans cisterna" 1
0 0.287058486916752 5 491 "GO:0000139;GO:0044431" "obsolete Golgi apparatus part" 1
0 1 2 6 "GO:0000145" "exocyst" 1
0 1 2 110 "GO:0000151" "ubiquitin ligase complex" 1
0 1 5 28 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 1 3 8 "GO:0000153;GO:0030891" "cytoplasmic ubiquitin ligase complex" 1
0 1 2 8 "GO:0000159" "protein phosphatase type 2A complex" 1
0 1 2 14 "GO:0000176;GO:0000177" "nuclear exosome (RNase complex)" 1
0 1 3 18 "GO:0000178;GO:1905354" "exoribonuclease complex" 1
0 1 5 5 "GO:0000220;GO:0033179" "vacuolar proton-transporting V-type ATPase, V0 domain" 1
0 1 5 8 "GO:0000221;GO:0033180" "vacuolar proton-transporting V-type ATPase, V1 domain" 1
0 1 2 275 "GO:0000228;GO:0044454" "nuclear chromosome" 1
0 1 8 16 "GO:0000235;GO:0005818" "aster" 1
0 1 2 13 "GO:0000242" "pericentriolar material" 1
0 1 2 5 "GO:0000275;GO:0045261" "mitochondrial proton-transporting ATP synthase complex, catalytic sector F(1)" 1
0 1 2 15 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 1 3 49 "GO:0000313;GO:0005761" "mitochondrial ribosome" 1
0 1 3 20 "GO:0000314;GO:0005763" "mitochondrial small ribosomal subunit" 1
0 1 3 27 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 1
0 1 2 12 "GO:0000322;GO:0000324;GO:0000329" "storage vacuole" 1
0 0.0187997935168674 6 353 "GO:0000323;GO:0005773;GO:0005764" "vacuole" 1
0 1 2 9 "GO:0000346" "transcription export complex" 1
0 1 2 7 "GO:0000347;GO:0000445" "THO complex" 1
0 1 2 8 "GO:0000407" "phagophore assembly site" 1
0 1 2 8 "GO:0000421" "autophagosome membrane" 1
