chr	start	end	name	NcpgMeasured	Nmcpg	mCpG_per_CpG	fracMeth	mnMeth	medMeth	sdMeth	stdErrMeth	maxMeth	minMeth
chr10	78574	86389	Amillepora16770	98	53	0.5408163265306123	0.5094339622641509	52.55102040816327	100	49.41537021394279	4.991706196160381	100	0
chr10	56203	78368	Amillepora16769	710	188	0.2647887323943662	0.23183391003460208	25.962441314553992	0	43.596055388466034	1.63613080395602	100	0
chr10	129293	169672	Amillepora16774	1414	254	0.17963224893917965	0.16433353621424224	17.47996228194248	0	37.678653509393015	1.0020068018896633	100	0
chr10	116856	127301	Amillepora16773	436	57	0.13073394495412843	0.12224448897795591	12.614678899082568	0	32.891995534498804	1.575240894815981	100	0
chr10	90029	110622	Amillepora16771	673	208	0.30906389301634474	0.2807646356033453	29.96532937097573	0	45.364289586675014	1.7486648567220513	100	0
chr10	201101	205740	Amillepora16778	481	11	0.02286902286902287	0.019130434782608695	1.8711018711018712	0	12.773345319780256	0.5824144145067679	100	0
chr10	171170	197798	Amillepora16777	2423	230	0.09492364836978952	0.08918732782369146	9.024625120374191	0	28.268496414655086	0.5742830551775384	100	0
chr10	207171	226252	Amillepora16779	764	98	0.12827225130890052	0.11757990867579908	12.565445026178011	0	32.969498747163065	1.192794602133369	100	0
chr10	270177	271009	Amillepora16782	28	0	0	0	0	0	0	0	0	0
chr10	269654	270159	Amillepora16781	11	0	0	0	0	0	0	0	0	0
chr10	268976	269380	Amillepora16780	34	1	0.029411764705882353	0.02631578947368421	2.9411764705882355	0	17.149858514250884	2.941176470588235	100	0
chr10	271174	271481	Amillepora16783	29	1	0.034482758620689655	0.03125	3.4482758620689653	0	18.569533817705192	3.4482758620689653	100	0
chr10	355437	358209	Amillepora16793	193	1	0.0051813471502590676	0.0045871559633027525	0.5181347150259067	0	7.19815750748698	0.5181347150259067	100	0
chr10	290446	301430	Amillepora16784	778	18	0.02313624678663239	0.019629225736095966	2.152956298200514	0	14.328325044643389	0.513695340708383	100	0
chr10	374803	377778	Amillepora16795	186	56	0.3010752688172043	0.30049261083743845	29.121863799283155	0	44.97452825837125	3.297692409268234	100	0
chr10	308237	314231	Amillepora16787	597	13	0.021775544388609715	0.01875901875901876	2.0100502512562812	0	13.744305696958008	0.5625169851765466	100	0
chr10	361003	374285	Amillepora16794	941	42	0.044633368756641874	0.0426497277676951	3.967410556145944	0	18.914686544014817	0.616601159125571	100	0
chr10	340754	348300	Amillepora16792	608	20	0.03289473684210526	0.029197080291970802	2.768640350877193	0	15.664867801222128	0.6352942791349443	100	0
chr10	334969	340469	Amillepora16791	375	9	0.024	0.021377672209026127	2.2666666666666666	0	14.677762777160604	0.7579564106070172	100	0
chr10	323999	326833	Amillepora16790	118	1	0.00847457627118644	0.007462686567164179	0.847457627118644	0	9.205746178983219	0.847457627118644	100	0
chr10	315180	319549	Amillepora16788	190	6	0.031578947368421054	0.028846153846153848	3.1578947368421053	0	17.533831720524677	1.2720378486666186	100	0
chr10	319560	321966	Amillepora16789	109	3	0.027522935779816515	0.022727272727272728	1.6819571865443421	0	11.098361696572349	1.0630302555868607	100	0
chr10	301858	307307	Amillepora16785	402	15	0.03731343283582089	0.03138075313807531	3.482587064676617	0	18.013875097644767	0.8984504294688749	100	0
chr10	379820	394573	Amillepora16796	656	88	0.13414634146341464	0.13154362416107382	12.957317073170731	0	33.26651125089893	1.2988390517406287	100	0
chr10	427276	433019	Amillepora16800	43	25	0.5813953488372093	0.5892857142857143	55.42635658914729	100	48.62132730278588	7.414682901348484	100	0
chr10	407702	418133	Amillepora16798	412	121	0.2936893203883495	0.2848101265822785	28.883495145631066	0	45.10831537778126	2.22232719151983	100	0
chr10	402308	407282	Amillepora16797	145	23	0.15862068965517243	0.13450292397660818	14.367816091954023	0	34.22537242305489	2.8422624760455535	100	0
chr10	447137	454446	Amillepora16801	258	7	0.027131782945736434	0.022653721682847898	2.0025839793281652	0	13.038039800525596	0.8117129028107717	100	0
chr10	499826	500605	Amillepora16804	134	7	0.05223880597014925	0.040697674418604654	3.980099502487562	0	18.186252631736604	1.5710529428203164	100	0
chr10	552049	557208	Amillepora16812	71	26	0.36619718309859156	0.3783783783783784	36.61971830985915	0	48.51932345458813	5.758184314388002	100	0
chr10	524217	530628	Amillepora16808	146	79	0.541095890410959	0.532967032967033	52.04337899543379	87.5	49.15795580264931	4.068341369392747	100	0
chr10	578761	583442	Amillepora16815	304	7	0.023026315789473683	0.0223463687150838	1.9736842105263157	0	13.327035163523123	0.7643578880896121	100	0
chr10	509028	519995	Amillepora16806	128	46	0.359375	0.3533834586466165	35.9375	0	48.17026069836068	4.257689748916834	100	0
chr10	557392	560593	Amillepora16813	106	44	0.41509433962264153	0.42063492063492064	40.40880503144654	0	48.629259009221634	4.72329117725666	100	0
chr10	520681	524138	Amillepora16807	71	16	0.22535211267605634	0.2236842105263158	22.535211267605632	0	42.07878019209595	4.993832453115033	100	0
chr10	561324	577819	Amillepora16814	1154	60	0.05199306759098787	0.04974016332590943	4.896013864818024	0	21.244724404451755	0.6253860610227743	100	0
chr10	543127	551955	Amillepora16811	401	66	0.16458852867830423	0.14838709677419354	15.71072319201995	0	35.91735109561518	1.7936269206521163	100	0
chr10	502299	508613	Amillepora16805	707	18	0.02545968882602546	0.019693654266958426	2.0744931636020745	0	13.52678762143609	0.5087272069416537	100	0
chr10	530873	534770	Amillepora16809	69	34	0.4927536231884058	0.5121951219512195	47.82608695652174	0	49.582657227081015	5.969050488541428	100	0
chr10	461162	467337	Amillepora16802	191	52	0.27225130890052357	0.2681818181818182	25.462478184991273	0	42.684805148336096	3.088564103719124	100	0
chr10	469024	498354	Amillepora16803	1341	175	0.13049962714392244	0.12123197903014417	12.527964205816554	0	32.763502289316904	0.8946968967802328	100	0
chr10	535880	540044	Amillepora16810	60	43	0.7166666666666667	0.7	70.83333333333333	100	45.371971735963136	5.857496363932631	100	0
chr10	602618	606079	Amillepora16817	241	5	0.02074688796680498	0.01730103806228374	1.8672199170124482	0	13.175063414987235	0.8486804402015183	100	0
