chr	start	end	name	m-L5-s1_S1	m-L5-s2_S2	m-L5-t1_S3	m-L5-t2_S4	m-N12-s1_S5	m-N12-s2_S6	m-N12-t1_S7	m-N12-t2_S8	ub-L5-s1_S9	ub-L5-s2_S10	ub-L5-t1_S11	ub-L5-t2_S12	ub-N12-s1_S13	ub-N12-s2_S14	ub-N12-t1_S15	ub-N12-t2_S16	
chr10	77574	78574	Amillepora16770	36	43	47	42	35	61	34	50	64	74	84	61	108	61	73	50
chr10	78368	79368	Amillepora16769	32	28	32	30	27	30	31	41	42	64	57	41	76	68	67	41
chr10	169672	170672	Amillepora16774	39	19	42	31	36	48	31	55	66	78	92	63	110	70	73	62
chr10	127301	128301	Amillepora16773	26	16	34	29	28	27	25	38	79	73	88	52	94	68	67	51
chr10	110622	111622	Amillepora16771	38	12	31	24	30	39	24	37	93	83	109	64	137	76	88	74
chr10	200101	201101	Amillepora16778	36	17	38	18	26	41	21	38	62	87	68	65	100	71	65	50
chr10	197798	198798	Amillepora16777	36	21	52	21	23	38	38	57	77	79	106	56	100	56	80	67
chr10	226252	227252	Amillepora16779	28	24	28	25	33	29	28	48	53	78	87	48	90	72	78	53
chr10	271009	272009	Amillepora16782	32	19	31	19	27	38	31	56	61	51	80	50	68	57	63	50
chr10	270159	271159	Amillepora16781	25	10	21	17	16	19	25	36	21	24	46	22	36	35	18	26
chr10	269380	270380	Amillepora16780	22	6	23	23	14	16	29	34	29	31	39	23	41	37	22	22
chr10	271481	272481	Amillepora16783	26	17	28	23	24	39	28	34	67	52	85	52	79	56	70	56
chr10	354437	355437	Amillepora16793	31	9	29	18	24	32	28	32	77	70	88	49	105	68	91	67
chr10	289446	290446	Amillepora16784	24	18	28	33	37	41	40	57	53	72	83	52	93	73	60	55
chr10	377778	378778	Amillepora16795	59	40	24	42	45	49	43	52	63	63	78	38	84	66	36	26
chr10	314231	315231	Amillepora16787	23	17	30	26	23	34	31	36	60	73	81	47	101	72	86	48
chr10	374285	375285	Amillepora16794	62	45	52	35	37	64	40	63	61	88	86	45	93	73	50	45
chr10	348300	349300	Amillepora16792	31	12	38	21	28	28	19	32	65	85	81	46	100	66	63	59
chr10	340469	341469	Amillepora16791	27	13	24	19	21	44	18	29	69	86	103	71	101	56	89	63
chr10	326833	327833	Amillepora16790	11	7	18	6	44	43	39	55	33	41	40	21	108	80	87	60
chr10	319549	320549	Amillepora16788	9	5	12	11	27	30	26	30	29	23	26	27	65	36	44	24
chr10	321966	322966	Amillepora16789	15	11	24	20	37	46	32	41	51	57	58	43	113	81	79	63
chr10	307307	308307	Amillepora16785	27	16	27	19	21	32	19	38	88	76	94	59	103	67	64	55
chr10	378820	379820	Amillepora16796	29	22	32	17	32	38	29	26	63	70	67	49	100	66	59	35
chr10	426276	427276	Amillepora16800	10	5	12	5	5	10	5	6	13	21	44	14	28	17	25	16
chr10	406702	407702	Amillepora16798	38	12	22	32	37	40	31	38	58	78	85	51	106	80	75	44
chr10	407282	408282	Amillepora16797	57	20	33	44	35	44	34	45	63	82	88	53	118	75	80	51
chr10	454446	455446	Amillepora16801	12	6	10	5	17	25	3	7	38	42	37	20	65	33	19	18
chr10	498826	499826	Amillepora16804	41	15	25	31	28	42	39	43	71	82	79	67	105	69	72	59
chr10	551049	552049	Amillepora16812	39	27	34	24	27	41	13	34	78	66	53	51	86	81	50	49
chr10	523217	524217	Amillepora16808	70	62	56	67	52	65	47	71	39	70	58	42	70	43	40	29
chr10	577761	578761	Amillepora16815	22	12	21	25	24	34	14	26	66	80	68	46	84	75	72	54
chr10	508028	509028	Amillepora16806	21	15	29	17	20	20	15	33	63	89	85	63	83	65	88	68
chr10	560593	561593	Amillepora16813	33	18	32	28	33	37	25	63	80	77	86	75	103	68	84	62
chr10	524138	525138	Amillepora16807	45	19	30	21	30	36	17	34	67	82	77	44	84	54	62	49
chr10	577819	578819	Amillepora16814	21	14	22	25	23	32	13	26	63	77	69	43	82	71	70	54
chr10	551955	552955	Amillepora16811	55	32	45	47	49	66	43	67	57	54	49	39	70	62	38	26
chr10	508613	509613	Amillepora16805	41	31	43	32	34	38	41	68	68	90	83	66	97	65	72	50
chr10	534770	535770	Amillepora16809	41	31	31	40	42	54	38	43	76	72	82	76	108	57	65	50
chr10	467337	468337	Amillepora16802	21	17	32	10	22	33	12	34	61	73	64	70	81	61	68	48
chr10	498354	499354	Amillepora16803	50	19	30	27	24	28	30	39	78	83	92	71	97	74	80	71
chr10	540044	541044	Amillepora16810	69	46	40	58	57	63	43	64	69	75	75	61	83	58	56	32
chr10	601618	602618	Amillepora16817	29	17	24	20	32	39	19	25	73	81	81	58	87	82	70	62
chr10	610089	611089	Amillepora16818	28	23	41	20	29	34	24	22	67	85	94	71	101	74	64	68
chr10	669412	670412	Amillepora16824	36	22	43	38	59	35	31	52	73	88	97	64	115	71	85	43
chr10	590800	591800	Amillepora16816	24	15	21	16	24	43	15	20	76	70	75	57	98	64	73	47
