chr	start	end	name	nA	nG	nT	nC	nN	nCpG	nCCG	nCGG	nCGNR	nYNCG
chr1	150864	150921	DNA_1	16	16	18	8	0	0	0	0	0	0
chr1	150864	150921	DNA_2	16	16	18	8	0	0	0	0	0	0
chr1	266932	266994	DNA_3	20	12	23	8	0	0	0	0	0	0
chr1	266932	266994	DNA_4	20	12	23	8	0	0	0	0	0	0
chr1	319807	319942	DNA_5	50	27	26	33	0	4	0	0	2	2
chr1	319807	319942	DNA_6	50	27	26	33	0	4	0	0	2	2
chr1	387311	387871	DNA_7	175	121	163	102	0	15	3	4	6	7
chr1	387311	387871	DNA_8	175	121	163	102	0	15	3	4	6	7
chr1	403276	404142	DNA_9	266	168	256	177	0	47	9	12	19	24
chr1	403276	404142	DNA_10	266	168	256	177	0	47	9	12	19	24
chr1	470355	470486	DNA_11	41	30	36	25	0	9	3	2	5	2
chr1	470355	470486	DNA_12	41	30	36	25	0	9	3	2	5	2
chr1	518446	518872	DNA_13	151	77	120	79	0	13	2	0	8	7
chr1	518446	518872	DNA_14	151	77	120	79	0	13	2	0	8	7
chr1	563154	563374	DNA_15	84	35	66	36	0	5	3	2	3	1
chr1	563154	563374	DNA_16	84	35	66	36	0	5	3	2	3	1
chr1	693597	694361	DNA_17	232	148	232	153	0	30	5	6	15	20
chr1	693597	694361	DNA_18	232	148	232	153	0	30	5	6	15	20
chr1	718696	718797	DNA_19	36	18	30	18	0	1	1	0	1	0
chr1	718696	718797	DNA_20	36	18	30	18	0	1	1	0	1	0
chr1	930771	931130	DNA_21	117	68	102	73	0	13	3	0	6	6
chr1	930771	931130	DNA_22	117	68	102	73	0	13	3	0	6	6
chr1	1113279	1113926	DNA_23	211	123	191	123	0	9	3	1	8	6
chr1	1113279	1113926	DNA_24	211	123	191	123	0	9	3	1	8	6
chr1	1119617	1120728	DNA_25	289	268	316	239	0	61	14	14	26	30
chr1	1119617	1120728	DNA_26	289	268	316	239	0	61	14	14	26	30
chr1	1134919	1135706	DNA_27	245	149	244	150	0	34	2	3	19	17
chr1	1134919	1135706	DNA_28	245	149	244	150	0	34	2	3	19	17
chr1	1148182	1148779	DNA_29	199	114	199	86	0	10	2	4	4	4
chr1	1148182	1148779	DNA_30	199	114	199	86	0	10	2	4	4	4
chr1	1152865	1152960	DNA_31	32	18	27	19	0	3	0	2	2	1
chr1	1152865	1152960	DNA_32	32	18	27	19	0	3	0	2	2	1
chr1	1190809	1191013	DNA_33	61	34	68	42	0	0	0	0	0	0
chr1	1190809	1191013	DNA_34	61	34	68	42	0	0	0	0	0	0
chr1	1234382	1234758	DNA_35	125	73	115	64	0	7	2	0	5	3
chr1	1234382	1234758	DNA_36	125	73	115	64	0	7	2	0	5	3
chr1	1240823	1242260	DNA_37	460	258	453	267	0	54	7	7	24	23
chr1	1240823	1242260	DNA_38	460	258	453	267	0	54	7	7	24	23
chr1	1285521	1285602	DNA_39	32	16	18	16	0	5	0	0	4	3
chr1	1285521	1285602	DNA_40	32	16	18	16	0	5	0	0	4	3
chr1	1285681	1285788	DNA_41	34	22	29	23	0	5	2	0	3	3
chr1	1285681	1285788	DNA_42	34	22	29	23	0	5	2	0	3	3
chr1	1291496	1291608	DNA_43	30	31	31	21	0	0	0	0	0	0
chr1	1291496	1291608	DNA_44	30	31	31	21	0	0	0	0	0	0
chr1	1412027	1412835	DNA_45	247	151	246	165	0	10	4	3	5	7
chr1	1412027	1412835	DNA_46	247	151	246	165	0	10	4	3	5	7
chr1	1412877	1414712	DNA_47	547	338	587	364	0	56	16	15	23	29
chr1	1412877	1414712	DNA_48	547	338	587	364	0	56	16	15	23	29
chr1	1466153	1466469	DNA_49	116	54	89	58	0	6	1	0	4	2
chr1	1466153	1466469	DNA_50	116	54	89	58	0	6	1	0	4	2
chr1	1605563	1606016	DNA_51	149	87	133	85	0	19	6	2	14	7
chr1	1605563	1606016	DNA_52	149	87	133	85	0	19	6	2	14	7
chr1	1758362	1758404	DNA_53	14	5	14	10	0	0	0	0	0	0
chr1	1758362	1758404	DNA_54	14	5	14	10	0	0	0	0	0	0
