chr	start	end	name	mrF-L5-s1_S10	mrF-L5-s2_S11	mrF-L5-s3_S12	mrF-L5-t1_S7	mrF-L5-t2_S8	mrF-L5-t3_S9	mrF-N12-s1_S4	mrF-N12-s2_S5	mrF-N12-s3_S6	mrF-N12-t1_S1	mrF-N12-t2_S2	mrF-N12-t3_S3	mrM-L5-s1_S22	mrM-L5-s2_S23	mrM-L5-s3_S24	mrM-L5-t1_S19	mrM-L5-t2_S20	mrM-L5-t3_S21	mrM-N12-s1_S16	mrM-N12-s2_S17	mrM-N12-s3_S18	mrM-N12-t1_S13	mrM-N12-t2_S14	mrM-N12-t3_S15	
chr1	1951487	1952412	RC_1	24	12	0	7	3	7	33	16	17	34	13	33	55	38	31	41	16	24	86	53	63	61	31	91
chr1	1951487	1952412	RC_2	24	12	0	7	3	7	33	16	17	34	13	33	55	38	31	41	16	24	86	53	63	61	31	91
chr1	1952639	1952809	RC_3	36	28	9	12	14	15	25	7	3	10	24	9	38	19	14	23	4	9	31	20	29	23	24	51
chr1	1952639	1952809	RC_4	36	28	9	12	14	15	25	7	3	10	24	9	38	19	14	23	4	9	31	20	29	23	24	51
chr1	2484254	2484364	RC_5	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
chr1	2484254	2484364	RC_6	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
chr1	2600422	2600736	RC_7	9	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	2	0	0	0	0	0
chr1	2600422	2600736	RC_8	9	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	1	2	0	0	0	0	0
chr1	4187435	4187798	RC_9	8	9	7	8	12	7	2	6	5	1	1	0	21	14	5	10	7	23	19	6	7	7	5	10
chr1	4187435	4187798	RC_10	8	9	7	8	12	7	2	6	5	1	1	0	21	14	5	10	7	23	19	6	7	7	5	10
chr1	6495964	6496030	RC_11	13	22	16	10	20	16	11	21	21	45	11	15	6	4	2	5	7	4	15	5	6	7	11	30
chr1	6495964	6496030	RC_12	13	22	16	10	20	16	11	21	21	45	11	15	6	4	2	5	7	4	15	5	6	7	11	30
chr1	6503061	6503127	RC_13	14	10	17	14	15	19	12	26	11	19	23	9	11	7	5	9	2	8	18	10	12	14	17	19
chr1	6503061	6503127	RC_14	14	10	17	14	15	19	12	26	11	19	23	9	11	7	5	9	2	8	18	10	12	14	17	19
chr1	6947062	6951737	RC_15	62	22	11	16	6	26	29	12	13	18	18	10	90	41	50	51	30	47	65	28	35	44	31	57
chr1	6947062	6951737	RC_16	62	22	11	16	6	26	29	12	13	18	18	10	90	41	50	51	30	47	65	28	35	44	31	57
chr1	6961514	6965667	RC_17	52	43	44	42	51	38	50	38	31	53	73	44	139	84	90	115	77	71	111	60	68	81	47	102
chr1	6961514	6965667	RC_18	52	43	44	42	51	38	50	38	31	53	73	44	139	84	90	115	77	71	111	60	68	81	47	102
chr1	6993003	6994011	RC_19	15	17	8	7	7	13	4	6	10	0	8	8	18	14	15	18	20	11	9	5	4	4	8	14
chr1	6993003	6994011	RC_20	15	17	8	7	7	13	4	6	10	0	8	8	18	14	15	18	20	11	9	5	4	4	8	14
chr1	8341016	8342581	RC_21	6	7	2	1	8	4	0	1	2	4	3	3	33	13	6	8	3	12	15	5	7	11	2	11
chr1	8341016	8342581	RC_22	6	7	2	1	8	4	0	1	2	4	3	3	33	13	6	8	3	12	15	5	7	11	2	11
chr1	10402449	10405980	RC_23	24	19	19	18	21	37	8	33	20	41	30	31	75	62	47	40	44	85	82	31	28	49	43	75
chr1	10402449	10405980	RC_24	24	19	19	18	21	37	8	33	20	41	30	31	75	62	47	40	44	85	82	31	28	49	43	75
chr1	15385614	15386232	RC_25	0	0	0	0	0	0	0	0	0	0	0	0	19	1	0	2	2	0	5	0	0	3	2	4
chr1	15385614	15386232	RC_26	0	0	0	0	0	0	0	0	0	0	0	0	19	1	0	2	2	0	5	0	0	3	2	4
chr1	16786157	16786632	RC_27	4	0	2	0	2	3	18	16	18	11	9	6	1	0	0	0	0	0	44	15	21	17	13	36
chr1	16786157	16786632	RC_28	4	0	2	0	2	3	18	16	18	11	9	6	1	0	0	0	0	0	44	15	21	17	13	36
chr1	16786692	16787663	RC_29	32	11	10	4	6	11	50	40	30	37	43	25	86	68	40	57	41	67	110	34	43	69	41	80
chr1	16786692	16787663	RC_30	32	11	10	4	6	11	50	40	30	37	43	25	86	68	40	57	41	67	110	34	43	69	41	80
chr1	16805550	16807029	RC_31	5	2	13	8	8	8	24	25	51	36	30	24	39	20	12	14	11	25	20	8	19	17	8	14
chr1	16805550	16807029	RC_32	5	2	13	8	8	8	24	25	51	36	30	24	39	20	12	14	11	25	20	8	19	17	8	14
chr1	16827021	16827496	RC_33	9	5	2	4	2	9	27	46	7	41	32	27	14	9	2	4	3	10	9	3	3	3	4	12
chr1	16827021	16827496	RC_34	9	5	2	4	2	9	27	46	7	41	32	27	14	9	2	4	3	10	9	3	3	3	4	12
chr1	16827557	16828516	RC_35	65	38	56	56	40	66	4	2	1	3	4	9	35	17	8	25	11	27	60	13	15	28	21	36
chr1	16827557	16828516	RC_36	65	38	56	56	40	66	4	2	1	3	4	9	35	17	8	25	11	27	60	13	15	28	21	36
chr1	17749148	17753785	RC_37	97	65	36	47	12	45	176	93	51	103	148	146	138	106	87	115	64	115	207	103	106	127	90	236
chr1	17749148	17753785	RC_38	97	65	36	47	12	45	176	93	51	103	148	146	138	106	87	115	64	115	207	103	106	127	90	236
chr1	18571955	18572311	RC_39	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
chr1	18571955	18572311	RC_40	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
chr1	18573674	18574116	RC_41	7	1	0	0	0	0	1	0	0	0	0	1	0	2	0	2	0	2	2	0	0	0	3	2
chr1	18573674	18574116	RC_42	7	1	0	0	0	0	1	0	0	0	0	1	0	2	0	2	0	2	2	0	0	0	3	2
chr1	18594458	18594734	RC_43	1	0	0	0	1	0	0	0	0	0	1	0	2	0	2	0	0	0	9	1	2	1	1	3
chr1	18594458	18594734	RC_44	1	0	0	0	1	0	0	0	0	0	1	0	2	0	2	0	0	0	9	1	2	1	1	3
chr1	18594850	18595659	RC_45	3	3	1	0	1	2	3	0	1	0	3	0	4	4	2	1	1	4	9	0	1	2	0	10
chr1	18594850	18595659	RC_46	3	3	1	0	1	2	3	0	1	0	3	0	4	4	2	1	1	4	9	0	1	2	0	10
chr1	18672675	18674341	RC_47	24	10	8	14	9	16	3	0	0	0	0	2	32	19	10	14	6	5	14	16	12	16	26	38
chr1	18672675	18674341	RC_48	24	10	8	14	9	16	3	0	0	0	0	2	32	19	10	14	6	5	14	16	12	16	26	38
chr1	18674484	18674632	RC_49	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	1
chr1	18674484	18674632	RC_50	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	0	0	0	1
chr1	18791586	18791654	RC_51	1	0	0	0	1	0	0	0	0	0	0	0	4	1	3	1	3	1	1	0	1	1	1	0
chr1	18791586	18791654	RC_52	1	0	0	0	1	0	0	0	0	0	0	0	4	1	3	1	3	1	1	0	1	1	1	0
chr1	18791696	18793249	RC_53	18	14	7	10	6	10	45	33	52	46	59	50	47	61	32	43	40	58	79	39	58	34	55	96
chr1	18791696	18793249	RC_54	18	14	7	10	6	10	45	33	52	46	59	50	47	61	32	43	40	58	79	39	58	34	55	96
chr1	18794163	18794694	RC_55	23	22	3	7	14	5	22	0	4	10	11	10	29	40	21	28	25	29	37	19	11	33	21	34
chr1	18794163	18794694	RC_56	23	22	3	7	14	5	22	0	4	10	11	10	29	40	21	28	25	29	37	19	11	33	21	34
chr1	18799201	18799288	RC_57	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	9	5	3	8	9
chr1	18799201	18799288	RC_58	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	9	5	3	8	9
chr1	18956847	18957455	RC_59	1	0	1	0	0	0	0	0	0	1	0	0	9	5	2	10	3	1	5	0	0	5	5	3
chr1	18956847	18957455	RC_60	1	0	1	0	0	0	0	0	0	1	0	0	9	5	2	10	3	1	5	0	0	5	5	3
chr1	18957862	18957967	RC_61	0	0	0	0	1	1	0	0	0	0	0	1	4	3	2	2	1	2	1	2	2	2	1	3
chr1	18957862	18957967	RC_62	0	0	0	0	1	1	0	0	0	0	0	1	4	3	2	2	1	2	1	2	2	2	1	3
chr1	18966108	18966872	RC_63	152	135	110	108	129	154	71	49	44	47	94	68	73	29	13	39	24	31	41	8	25	14	21	39
chr1	18966108	18966872	RC_64	152	135	110	108	129	154	71	49	44	47	94	68	73	29	13	39	24	31	41	8	25	14	21	39
chr1	19218277	19218363	RC_65	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	1	0	0	0
chr1	19218277	19218363	RC_66	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	1	0	0	0
chr1	20498632	20498865	RC_67	14	26	2	7	7	12	1	0	0	0	0	0	5	7	3	6	0	1	1	0	0	0	0	0
chr1	20498632	20498865	RC_68	14	26	2	7	7	12	1	0	0	0	0	0	5	7	3	6	0	1	1	0	0	0	0	0
chr1	20499122	20499403	RC_69	5	3	1	0	1	0	0	0	0	0	0	0	14	6	2	5	2	3	2	0	3	1	0	0
chr1	20499122	20499403	RC_70	5	3	1	0	1	0	0	0	0	0	0	0	14	6	2	5	2	3	2	0	3	1	0	0
chr1	20591610	20591806	RC_71	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1
chr1	20591610	20591806	RC_72	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1
chr1	20592520	20592678	RC_73	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0
chr1	20592520	20592678	RC_74	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0
chr1	20692678	20692870	RC_75	1	5	2	0	0	1	2	0	0	2	0	0	6	1	2	2	2	0	2	0	0	1	2	7
chr1	20692678	20692870	RC_76	1	5	2	0	0	1	2	0	0	2	0	0	6	1	2	2	2	0	2	0	0	1	2	7
chr1	20728948	20729282	RC_77	3	0	1	0	0	1	0	0	0	0	0	0	4	2	0	2	2	0	1	0	0	0	0	3
chr1	20728948	20729282	RC_78	3	0	1	0	0	1	0	0	0	0	0	0	4	2	0	2	2	0	1	0	0	0	0	3
chr1	20740485	20745645	RC_79	71	82	39	83	31	75	91	140	84	108	92	99	117	88	56	62	48	75	163	86	100	85	127	173
chr1	20740485	20745645	RC_80	71	82	39	83	31	75	91	140	84	108	92	99	117	88	56	62	48	75	163	86	100	85	127	173
chr1	21255845	21255909	RC_81	11	6	5	9	1	4	9	21	21	23	7	13	18	18	12	15	8	18	14	17	15	8	14	25
chr1	21255845	21255909	RC_82	11	6	5	9	1	4	9	21	21	23	7	13	18	18	12	15	8	18	14	17	15	8	14	25
chr1	21816437	21817785	RC_83	32	8	2	4	3	0	2	0	2	6	3	2	31	16	9	13	5	7	29	5	11	8	4	9
chr1	21816437	21817785	RC_84	32	8	2	4	3	0	2	0	2	6	3	2	31	16	9	13	5	7	29	5	11	8	4	9
chr1	21819104	21819316	RC_85	14	4	2	9	7	3	2	2	3	2	2	1	8	5	1	4	5	0	8	4	4	0	1	4
chr1	21819104	21819316	RC_86	14	4	2	9	7	3	2	2	3	2	2	1	8	5	1	4	5	0	8	4	4	0	1	4
chr1	21887280	21890103	RC_87	75	48	10	15	18	16	6	4	5	4	5	7	122	72	54	65	38	88	44	10	26	44	38	58
chr1	21887280	21890103	RC_88	75	48	10	15	18	16	6	4	5	4	5	7	122	72	54	65	38	88	44	10	26	44	38	58
chr1	22295997	22296164	RC_89	0	1	0	1	0	0	0	0	0	0	0	0	38	18	23	12	12	26	31	15	23	9	14	17
chr1	22295997	22296164	RC_90	0	1	0	1	0	0	0	0	0	0	0	0	38	18	23	12	12	26	31	15	23	9	14	17
chr1	22296263	22296455	RC_91	1	0	0	0	0	0	0	0	0	0	0	0	14	5	3	8	3	8	11	2	5	4	2	6
chr1	22296263	22296455	RC_92	1	0	0	0	0	0	0	0	0	0	0	0	14	5	3	8	3	8	11	2	5	4	2	6
chr1	22296607	22297342	RC_93	65	37	33	49	19	56	54	32	7	21	41	27	96	85	71	73	45	97	63	40	56	46	49	79
chr1	22296607	22297342	RC_94	65	37	33	49	19	56	54	32	7	21	41	27	96	85	71	73	45	97	63	40	56	46	49	79
chr1	22297484	22298276	RC_95	0	34	32	24	13	29	2	9	16	19	1	10	77	50	53	44	35	61	64	31	31	28	26	65
