chr	start	end	name	nA	nG	nT	nC	nN	nCpG	nCCG	nCGG	nCGNR	nYNCG
chr1	1951487	1952412	RC_1	292	166	305	163	0	8	2	1	4	6
chr1	1951487	1952412	RC_2	292	166	305	163	0	8	2	1	4	6
chr1	1952639	1952809	RC_3	45	35	54	37	0	5	2	0	1	2
chr1	1952639	1952809	RC_4	45	35	54	37	0	5	2	0	1	2
chr1	2484254	2484364	RC_5	35	30	30	16	0	4	0	1	3	4
chr1	2484254	2484364	RC_6	35	30	30	16	0	4	0	1	3	4
chr1	2600422	2600736	RC_7	107	69	96	43	0	5	0	1	2	3
chr1	2600422	2600736	RC_8	107	69	96	43	0	5	0	1	2	3
chr1	4187435	4187798	RC_9	113	81	112	58	0	1	1	1	1	0
chr1	4187435	4187798	RC_10	113	81	112	58	0	1	1	1	1	0
chr1	6495964	6496030	RC_11	16	11	25	15	0	1	0	0	1	1
chr1	6495964	6496030	RC_12	16	11	25	15	0	1	0	0	1	1
chr1	6503061	6503127	RC_13	16	11	25	15	0	1	0	0	1	1
chr1	6503061	6503127	RC_14	16	11	25	15	0	1	0	0	1	1
chr1	6947062	6951737	RC_15	1392	795	1606	883	0	58	13	6	33	32
chr1	6947062	6951737	RC_16	1392	795	1606	883	0	58	13	6	33	32
chr1	6961514	6965667	RC_17	1437	748	1143	826	0	97	19	15	46	49
chr1	6961514	6965667	RC_18	1437	748	1143	826	0	97	19	15	46	49
chr1	6993003	6994011	RC_19	277	182	343	207	0	20	7	4	12	12
chr1	6993003	6994011	RC_20	277	182	343	207	0	20	7	4	12	12
chr1	8341016	8342581	RC_21	481	290	515	280	0	24	1	5	8	9
chr1	8341016	8342581	RC_22	481	290	515	280	0	24	1	5	8	9
chr1	10402449	10405980	RC_23	1066	659	1207	600	0	72	16	15	37	35
chr1	10402449	10405980	RC_24	1066	659	1207	600	0	72	16	15	37	35
chr1	15385614	15386232	RC_25	197	88	206	128	0	4	0	0	2	2
chr1	15385614	15386232	RC_26	197	88	206	128	0	4	0	0	2	2
chr1	16786157	16786632	RC_27	150	84	161	81	0	4	2	0	2	2
chr1	16786157	16786632	RC_28	150	84	161	81	0	4	2	0	2	2
chr1	16786692	16787663	RC_29	271	178	326	197	0	8	2	1	3	4
chr1	16786692	16787663	RC_30	271	178	326	197	0	8	2	1	3	4
chr1	16805550	16807029	RC_31	410	255	528	287	0	10	3	4	4	4
chr1	16805550	16807029	RC_32	410	255	528	287	0	10	3	4	4	4
chr1	16827021	16827496	RC_33	158	82	161	75	0	3	2	0	2	2
chr1	16827021	16827496	RC_34	158	82	161	75	0	3	2	0	2	2
chr1	16827557	16828516	RC_35	266	181	320	193	0	11	1	4	3	7
chr1	16827557	16828516	RC_36	266	181	320	193	0	11	1	4	3	7
chr1	17749148	17753785	RC_37	1497	825	1429	887	0	140	20	39	61	67
chr1	17749148	17753785	RC_38	1497	825	1429	887	0	140	20	39	61	67
chr1	18571955	18572311	RC_39	137	74	89	57	0	3	0	0	2	1
chr1	18571955	18572311	RC_40	137	74	89	57	0	3	0	0	2	1
chr1	18573674	18574116	RC_41	149	88	127	79	0	4	1	0	1	3
chr1	18573674	18574116	RC_42	149	88	127	79	0	4	1	0	1	3
chr1	18594458	18594734	RC_43	95	52	87	43	0	1	0	1	0	1
chr1	18594458	18594734	RC_44	95	52	87	43	0	1	0	1	0	1
chr1	18594850	18595659	RC_45	287	170	217	136	0	9	1	0	3	6
chr1	18594850	18595659	RC_46	287	170	217	136	0	9	1	0	3	6
chr1	18672675	18674341	RC_47	474	285	572	336	0	34	13	12	11	16
chr1	18672675	18674341	RC_48	474	285	572	336	0	34	13	12	11	16
chr1	18674484	18674632	RC_49	44	29	58	18	0	1	0	1	0	1
chr1	18674484	18674632	RC_50	44	29	58	18	0	1	0	1	0	1
chr1	18791586	18791654	RC_51	28	12	20	9	0	0	0	0	0	0
chr1	18791586	18791654	RC_52	28	12	20	9	0	0	0	0	0	0
chr1	18791696	18793249	RC_53	420	326	530	278	0	24	8	8	15	15
chr1	18791696	18793249	RC_54	420	326	530	278	0	24	8	8	15	15
chr1	18794163	18794694	RC_55	152	85	200	95	0	4	0	1	3	1
chr1	18794163	18794694	RC_56	152	85	200	95	0	4	0	1	3	1
chr1	18799201	18799288	RC_57	35	11	27	15	0	2	0	0	2	0
chr1	18799201	18799288	RC_58	35	11	27	15	0	2	0	0	2	0
