# Program:featureCounts v1.6.3; Command:"/work/02260/grovesd/stampede2/subread-1.6.3-source/bin/featureCounts" "-a" "/work/02260/grovesd/lonestar/Amil_Zach_Fullers_v2.00/Amil.coding.gff3" "-t" "gene" "-g" "ID" "-o" "rnaseq_gene_counts_DEDUPPED.txt" "-T" "64" "--primary" "L5-S1_S216_dupsRemoved.bam" "L5-S2_S217_dupsRemoved.bam" "L5-S3_S218_dupsRemoved.bam" "L5-T1_S222_dupsRemoved.bam" "L5-T2_S223_dupsRemoved.bam" "L5-T3_S224_dupsRemoved.bam" "N12-S1_S219_dupsRemoved.bam" "N12-S2_S220_dupsRemoved.bam" "N12-S3_S221_dupsRemoved.bam" "N12-T1_S225_dupsRemoved.bam" "N12-T2_S226_dupsRemoved.bam" "N12-T3_S227_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	L5-S1_S216_dupsRemoved.bam	L5-S2_S217_dupsRemoved.bam	L5-S3_S218_dupsRemoved.bam	L5-T1_S222_dupsRemoved.bam	L5-T2_S223_dupsRemoved.bam	L5-T3_S224_dupsRemoved.bam	N12-S1_S219_dupsRemoved.bam	N12-S2_S220_dupsRemoved.bam	N12-S3_S221_dupsRemoved.bam	N12-T1_S225_dupsRemoved.bam	N12-T2_S226_dupsRemoved.bam	N12-T3_S227_dupsRemoved.bam
Amillepora16770	chr10	78574	86389	+	7816	126	103	98	104	136	156	100	100	78	92	84	88
Amillepora16769	chr10	56203	78368	-	22166	100	72	75	89	98	134	73	94	79	75	89	79
Amillepora16774	chr10	129293	169672	-	40380	361	291	283	356	369	456	283	339	259	281	330	281
Amillepora16773	chr10	116856	127301	-	10446	203	126	151	164	196	213	188	205	159	186	162	162
Amillepora16771	chr10	90029	110622	-	20594	304	226	275	325	297	379	210	245	210	227	230	212
Amillepora16778	chr10	201101	205740	+	4640	6	3	5	7	8	6	6	3	4	3	4	10
Amillepora16777	chr10	171170	197798	-	26629	276	215	207	275	285	307	269	297	234	321	312	317
Amillepora16779	chr10	207171	226252	-	19082	204	154	157	189	234	265	141	165	146	168	174	161
Amillepora16782	chr10	270177	271009	-	833	0	0	0	0	1	1	0	0	0	0	1	1
Amillepora16781	chr10	269654	270159	-	506	1	0	0	0	0	0	0	0	0	0	0	0
Amillepora16780	chr10	268976	269380	-	405	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16783	chr10	271174	271481	-	308	0	0	0	0	0	0	1	0	0	0	0	0
Amillepora16793	chr10	355437	358209	+	2773	2	2	1	3	3	2	1	4	3	0	1	3
Amillepora16784	chr10	290446	301430	+	10985	145	116	119	161	182	180	114	127	106	149	147	140
Amillepora16795	chr10	374803	377778	-	2976	33	27	33	30	28	41	39	39	30	35	24	35
Amillepora16787	chr10	308237	314231	-	5995	20	10	18	13	21	26	44	46	43	40	40	40
Amillepora16794	chr10	361003	374285	-	13283	100	87	105	84	97	108	65	71	58	65	75	68
Amillepora16792	chr10	340754	348300	-	7547	9	2	5	9	16	13	21	15	10	24	15	26
Amillepora16791	chr10	334969	340469	-	5501	6	3	3	11	5	7	2	4	3	5	8	6
Amillepora16790	chr10	323999	326833	-	2835	1	0	0	0	2	0	0	0	1	0	1	2
Amillepora16788	chr10	315180	319549	-	4370	1	0	0	1	0	2	0	5	1	2	1	1
Amillepora16789	chr10	319560	321966	-	2407	0	2	0	0	0	0	1	7	8	8	8	6
Amillepora16785	chr10	301858	307307	-	5450	18	8	13	16	11	12	11	14	14	8	23	15
Amillepora16796	chr10	379820	394573	+	14754	92	64	54	77	92	96	61	62	56	61	67	67
Amillepora16800	chr10	427276	433019	+	5744	9	8	5	5	11	8	6	10	10	12	17	9
Amillepora16798	chr10	407702	418133	+	10432	73	55	56	74	90	97	58	83	62	68	61	70
Amillepora16797	chr10	402308	407282	-	4975	200	141	170	196	197	225	192	188	166	182	174	197
Amillepora16801	chr10	447137	454446	-	7310	19	19	15	24	28	36	23	35	22	16	18	25
Amillepora16804	chr10	499826	500605	+	780	35	20	28	26	26	30	27	17	17	22	16	23
Amillepora16812	chr10	552049	557208	+	5160	79	58	58	68	79	83	94	91	63	74	57	76
Amillepora16808	chr10	524217	530628	+	6412	14	11	7	15	14	20	26	10	19	16	22	22
Amillepora16815	chr10	578761	583442	+	4682	177	148	150	171	172	257	250	209	204	217	245	233
Amillepora16806	chr10	509028	519995	+	10968	90	63	72	66	75	129	73	68	73	77	66	74
Amillepora16813	chr10	557392	560593	-	3202	18	10	9	15	6	19	15	17	15	23	18	19
Amillepora16807	chr10	520681	524138	-	3458	24	13	18	19	23	28	9	16	9	13	15	18
Amillepora16814	chr10	561324	577819	-	16496	72	52	58	69	76	99	82	67	57	69	71	82
Amillepora16811	chr10	543127	551955	-	8829	106	85	105	113	111	148	127	130	82	109	96	103
Amillepora16805	chr10	502299	508613	-	6315	5	2	2	6	4	1	0	4	3	2	1	2
Amillepora16809	chr10	530873	534770	-	3898	37	27	25	31	39	42	42	34	25	38	29	36
Amillepora16802	chr10	461162	467337	-	6176	60	36	45	44	49	59	45	49	45	59	44	62
Amillepora16803	chr10	469024	498354	-	29331	99	87	76	111	120	134	75	96	84	105	99	104
Amillepora16810	chr10	535880	540044	-	4165	459	388	389	426	467	529	420	465	371	398	399	405
Amillepora16817	chr10	602618	606079	+	3462	34	16	24	20	26	36	17	20	9	13	11	16
Amillepora16818	chr10	611089	613827	+	2739	7	6	11	6	12	15	7	7	11	9	6	20
Amillepora16824	chr10	670412	676378	+	5967	18	16	18	22	28	45	21	32	18	22	20	20
Amillepora16816	chr10	591800	593833	+	2034	93	74	84	80	79	109	149	161	141	121	135	158
Amillepora16823	chr10	662767	668384	+	5618	4	6	1	5	5	4	3	8	0	2	0	5
Amillepora16822	chr10	653785	660938	+	7154	7	3	8	13	8	17	7	3	9	10	7	8
Amillepora16821	chr10	635745	650592	-	14848	197	176	148	218	250	245	122	121	99	96	139	123
Amillepora16819	chr10	614392	617020	-	2629	29	39	44	48	37	110	28	30	57	48	53	91
Amillepora16820	chr10	621996	631931	-	9936	19	10	18	29	16	32	29	25	22	37	35	31
Amillepora16826	chr10	699434	744377	+	44944	151	106	96	132	168	157	144	164	148	143	164	166
Amillepora16825	chr10	677558	694941	+	17384	181	125	150	175	186	216	494	544	516	481	511	525
Amillepora16830	chr10	809375	823674	+	14300	78	41	55	64	71	94	73	71	64	61	60	73
Amillepora16831	chr10	817961	830244	-	12284	5	1	3	1	0	2	4	9	3	5	14	4
Amillepora16829	chr10	801508	807448	-	5941	9	6	8	7	15	11	7	4	8	9	5	6
Amillepora16833	chr10	843376	854059	-	10684	25	28	24	25	28	33	42	40	38	36	36	35
Amillepora16841	chr10	915709	920006	+	4298	66	43	45	58	68	67	24	34	21	24	27	29
Amillepora16843	chr10	955229	956793	+	1565	2	1	0	1	4	2	0	0	2	1	2	0
Amillepora16840	chr10	908747	911709	+	2963	13	7	7	6	7	9	20	27	23	27	24	20
Amillepora16844	chr10	958650	962761	+	4112	2	2	2	2	0	0	1	1	0	0	1	1
Amillepora16845	chr10	962825	963451	+	627	0	0	0	0	0	1	0	0	0	0	0	0
Amillepora16836	chr10	876575	882033	-	5459	3	3	6	3	6	1	2	6	1	4	10	6
Amillepora16834	chr10	862727	869790	-	7064	11	17	6	14	21	17	15	9	17	13	24	15
Amillepora16838	chr10	893468	893845	-	378	3	1	2	3	2	1	2	3	5	2	4	2
Amillepora16839	chr10	899861	906171	-	6311	7	4	3	9	14	12	6	8	7	7	6	13
Amillepora16837	chr10	884924	889458	-	4535	7	4	1	5	4	5	1	7	7	5	12	5
Amillepora16835	chr10	871055	872906	-	1852	7	4	11	12	4	7	6	5	4	4	5	4
Amillepora16842	chr10	944692	944959	+	268	0	0	0	0	0	0	0	1	1	1	1	1
Amillepora16849	chr10	1017819	1023926	+	6108	21	14	7	18	18	32	3	4	4	2	3	6
Amillepora16846	chr10	985156	991593	+	6438	34	10	30	27	34	46	23	30	19	29	26	21
Amillepora16852	chr10	1073221	1080690	+	7470	10	3	3	4	5	8	6	8	9	6	9	7
Amillepora16848	chr10	1007914	1015920	+	8007	7	10	7	15	14	10	6	9	8	8	16	10
Amillepora16847	chr10	997844	1003675	+	5832	42	25	19	34	42	50	44	41	36	34	37	40
Amillepora16850	chr10	1026335	1038625	-	12291	63	61	53	67	86	110	64	66	53	58	60	67
Amillepora16851	chr10	1040973	1072966	-	31994	282	184	227	249	282	311	268	306	243	257	280	257
Amillepora16855	chr10	1128884	1134241	+	5358	8	6	5	13	24	19	10	14	11	12	15	14
Amillepora16858	chr10	1160065	1166298	-	6234	16	9	8	14	14	14	24	20	18	26	22	24
Amillepora16859	chr10	1166914	1173960	-	7047	32	29	28	36	44	37	43	31	26	41	36	32
Amillepora16853	chr10	1089763	1090734	-	972	4	2	5	2	1	3	8	17	8	11	9	16
Amillepora16856	chr10	1136346	1145909	-	9564	3	12	9	12	11	32	18	17	19	22	22	43
Amillepora16854	chr10	1108250	1127670	-	19421	100	96	79	86	97	126	131	138	133	136	146	136
Amillepora16860	chr10	1175766	1186441	-	10676	22	11	6	19	26	17	9	6	5	11	14	16
Amillepora16857	chr10	1146957	1156217	-	9261	33	20	22	41	30	27	50	41	29	73	32	70
Amillepora16873	chr10	1268602	1271796	+	3195	0	0	0	1	0	0	0	0	0	0	0	0
Amillepora16872	chr10	1259999	1266247	-	6249	74	53	67	53	48	82	73	87	55	68	63	65
Amillepora16861	chr10	1187532	1191492	-	3961	27	15	17	24	37	42	36	27	17	36	35	25
Amillepora16863	chr10	1201565	1207621	-	6057	119	73	75	118	122	172	167	123	99	167	175	144
Amillepora16862	chr10	1193724	1201372	-	7649	20	18	11	18	22	21	65	45	33	56	55	62
Amillepora16867	chr10	1235039	1235617	-	579	1	0	0	0	0	0	0	0	0	0	0	0
Amillepora16864	chr10	1210027	1217850	-	7824	32	25	17	37	27	30	23	18	21	35	26	37
Amillepora16871	chr10	1251924	1253961	-	2038	10	10	2	11	11	9	1	4	4	8	9	8
Amillepora16865	chr10	1232818	1233158	-	341	0	0	0	0	1	0	0	0	1	0	0	0
Amillepora16868	chr10	1237177	1237977	-	801	0	0	0	0	0	0	0	0	0	1	1	1
Amillepora16866	chr10	1234787	1234988	-	202	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16877	chr10	1329314	1343071	+	13758	21	16	13	22	33	28	23	35	30	24	36	39
Amillepora16875	chr10	1311280	1322125	-	10846	92	59	70	90	110	107	102	99	79	85	94	96
Amillepora16876	chr10	1327250	1328661	-	1412	3	3	1	1	3	4	1	0	3	1	1	2
Amillepora16874	chr10	1277162	1302485	-	25324	84	64	70	99	105	114	59	88	76	74	91	101
Amillepora16891	chr10	1480991	1489453	+	8463	16	11	11	14	22	20	13	25	18	16	19	15
Amillepora16888	chr10	1468808	1471174	+	2367	5	5	7	2	10	14	3	4	3	4	2	3
Amillepora16890	chr10	1472970	1474635	+	1666	28	19	15	20	16	25	7	9	3	9	3	3
Amillepora16886	chr10	1464797	1467424	+	2628	0	0	2	0	0	2	0	0	0	0	2	2
Amillepora16889	chr10	1471835	1472866	-	1032	1	2	2	2	3	4	3	0	3	2	0	1
Amillepora16878	chr10	1362844	1434109	-	71266	160	162	107	181	192	199	87	93	99	74	132	111
Amillepora16884	chr10	1441209	1443746	-	2538	0	1	0	0	1	0	1	0	0	1	0	0
Amillepora16885	chr10	1443755	1447431	-	3677	5	4	2	3	5	3	8	3	3	5	1	3
Amillepora16898	chr10	1543563	1557328	+	13766	71	67	67	77	84	119	61	56	55	60	81	74
Amillepora16892	chr10	1492348	1493856	+	1509	2	2	0	3	4	2	1	6	1	2	2	7
Amillepora16893	chr10	1495560	1500277	+	4718	11	13	4	10	12	11	1	1	2	4	4	2
Amillepora16899	chr10	1558063	1578487	-	20425	159	125	131	148	199	208	80	72	51	96	103	64
Amillepora16897	chr10	1529597	1543308	-	13712	48	38	21	48	41	42	26	28	25	35	37	31
Amillepora16894	chr10	1503729	1511093	-	7365	1	3	2	1	1	0	1	1	1	1	1	1
Amillepora16896	chr10	1520092	1526551	-	6460	24	16	16	22	20	20	15	18	16	20	16	16
Amillepora16895	chr10	1517108	1519295	-	2188	1	0	0	1	1	2	0	0	1	0	0	1
Amillepora16902	chr10	1650051	1652561	+	2511	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora16900	chr10	1594546	1631644	+	37099	25	31	21	22	31	27	16	14	19	24	29	35
Amillepora16901	chr10	1635058	1659621	-	24564	91	69	86	103	104	131	108	124	114	129	127	148
