chr	start	end	name	mrF-L5-s1_S10	mrF-L5-s2_S11	mrF-L5-s3_S12	mrF-L5-t1_S7	mrF-L5-t2_S8	mrF-L5-t3_S9	mrF-N12-s1_S4	mrF-N12-s2_S5	mrF-N12-s3_S6	mrF-N12-t1_S1	mrF-N12-t2_S2	mrF-N12-t3_S3	mrM-L5-s1_S22	mrM-L5-s2_S23	mrM-L5-s3_S24	mrM-L5-t1_S19	mrM-L5-t2_S20	mrM-L5-t3_S21	mrM-N12-s1_S16	mrM-N12-s2_S17	mrM-N12-s3_S18	mrM-N12-t1_S13	mrM-N12-t2_S14	mrM-N12-t3_S15	
chr1	150864	150921	DNA_1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	150864	150921	DNA_2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	266932	266994	DNA_3	0	1	0	0	0	0	0	1	1	4	0	2	6	0	0	1	0	1	8	3	0	2	0	3
chr1	266932	266994	DNA_4	0	1	0	0	0	0	0	1	1	4	0	2	6	0	0	1	0	1	8	3	0	2	0	3
chr1	319807	319942	DNA_5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	1
chr1	319807	319942	DNA_6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	1
chr1	387311	387871	DNA_7	2	3	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	5
chr1	387311	387871	DNA_8	2	3	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	5
chr1	403276	404142	DNA_9	15	0	0	0	0	0	2	0	0	0	0	0	6	7	2	4	2	3	8	0	4	2	1	5
chr1	403276	404142	DNA_10	15	0	0	0	0	0	2	0	0	0	0	0	6	7	2	4	2	3	8	0	4	2	1	5
chr1	470355	470486	DNA_11	1	0	0	0	0	0	0	0	0	1	0	0	2	2	0	2	0	2	0	1	0	1	0	3
chr1	470355	470486	DNA_12	1	0	0	0	0	0	0	0	0	1	0	0	2	2	0	2	0	2	0	1	0	1	0	3
chr1	518446	518872	DNA_13	45	40	13	19	9	35	24	1	3	13	11	8	204	172	131	121	109	170	135	88	90	98	78	175
chr1	518446	518872	DNA_14	45	40	13	19	9	35	24	1	3	13	11	8	204	172	131	121	109	170	135	88	90	98	78	175
chr1	563154	563374	DNA_15	38	12	12	10	9	21	6	2	1	5	8	3	48	30	26	28	10	35	31	10	21	17	8	38
chr1	563154	563374	DNA_16	38	12	12	10	9	21	6	2	1	5	8	3	48	30	26	28	10	35	31	10	21	17	8	38
chr1	693597	694361	DNA_17	285	239	182	231	177	203	121	98	64	82	91	89	234	210	116	151	123	174	126	75	87	93	89	151
chr1	693597	694361	DNA_18	285	239	182	231	177	203	121	98	64	82	91	89	234	210	116	151	123	174	126	75	87	93	89	151
