chr	start	end	name	nM	nU	NcpgMeasured	Nmcpg	mCpG_per_CpG	fracMeth	mnMeth	medMeth	sdMeth	stdErrMeth	maxMeth	minMeth
chr10	1697212	1700000	RC_193	13	53	46	12	0.2608695652173913	0.19696969696969696	19.927536231884055	0	36.95502191393141	5.44872072073714	100	0
chr10	1697212	1700000	RC_194	13	53	46	12	0.2608695652173913	0.19696969696969696	19.927536231884055	0	36.95502191393141	5.44872072073714	100	0
chr10	1700003	1701799	RC_195	323	534	171	76	0.4444444444444444	0.37689614935822635	27.172895190986928	0	35.59277813051749	2.72184777176825	100	0
chr10	1700003	1701799	RC_196	323	534	171	76	0.4444444444444444	0.37689614935822635	27.172895190986928	0	35.59277813051749	2.72184777176825	100	0
chr10	4769961	4770520	RC_197	13	5	16	11	0.6875	0.7222222222222222	68.75	100	47.871355387816905	11.967838846954226	100	0
chr10	4769961	4770520	RC_198	13	5	16	11	0.6875	0.7222222222222222	68.75	100	47.871355387816905	11.967838846954226	100	0
chr10	5423543	5424601	RC_199	0	12	12	0	0	0	0	0	0	0	0	0
chr10	5423543	5424601	RC_200	0	12	12	0	0	0	0	0	0	0	0	0
chr10	5522625	5524722	RC_201	4	18	10	3	0.3	0.18181818181818182	12.5	0	21.245914639969936	6.718548123582124	50	0
chr10	5522625	5524722	RC_202	4	18	10	3	0.3	0.18181818181818182	12.5	0	21.245914639969936	6.718548123582124	50	0
chr10	5525032	5526237	RC_203	43	527	151	21	0.1390728476821192	0.07543859649122807	5.950124195157308	0	16.704861106749313	1.3594223174047797	100	0
chr10	5525032	5526237	RC_204	43	527	151	21	0.1390728476821192	0.07543859649122807	5.950124195157308	0	16.704861106749313	1.3594223174047797	100	0
chr10	5689779	5692238	RC_205	68	327	177	42	0.23728813559322035	0.17215189873417722	14.441305712492152	0	29.331233860912825	2.204670542797718	100	0
chr10	5689779	5692238	RC_206	68	327	177	42	0.23728813559322035	0.17215189873417722	14.441305712492152	0	29.331233860912825	2.204670542797718	100	0
chr10	5692819	5697849	RC_207	10	162	113	8	0.07079646017699115	0.05813953488372093	6.371681415929204	0	24.240681085089758	2.2803714560575443	100	0
chr10	5692819	5697849	RC_208	10	162	113	8	0.07079646017699115	0.05813953488372093	6.371681415929204	0	24.240681085089758	2.2803714560575443	100	0
chr10	5698770	5699879	RC_209	68	478	265	58	0.2188679245283019	0.12454212454212454	12.02755315962863	0	26.540416391665513	1.6303648188139834	100	0
chr10	5698770	5699879	RC_210	68	478	265	58	0.2188679245283019	0.12454212454212454	12.02755315962863	0	26.540416391665513	1.6303648188139834	100	0
chr10	5705175	5705300	RC_211	1	20	10	1	0.1	0.047619047619047616	3.33333333333333	0	10.540925533894589	3.3333333333333295	33.3333333333333	0
chr10	5705175	5705300	RC_212	1	20	10	1	0.1	0.047619047619047616	3.33333333333333	0	10.540925533894589	3.3333333333333295	33.3333333333333	0
