chr	start	end	name	nA	nG	nT	nC	nN	nCpG	nCCG	nCGG	nCGNR	nYNCG
chr1	6874	6931	Low_complexity_1	32	3	18	5	0	0	0	0	0	0
chr1	6874	6931	Low_complexity_2	32	3	18	5	0	0	0	0	0	0
chr1	65380	65421	Low_complexity_3	33	4	5	0	0	0	0	0	0	0
chr1	65380	65421	Low_complexity_4	33	4	5	0	0	0	0	0	0	0
chr1	66044	66082	Low_complexity_5	28	0	10	1	0	0	0	0	0	0
chr1	66044	66082	Low_complexity_6	28	0	10	1	0	0	0	0	0	0
chr1	179731	179798	Low_complexity_7	29	28	8	3	0	0	0	0	0	0
chr1	179731	179798	Low_complexity_8	29	28	8	3	0	0	0	0	0	0
chr1	198190	198235	Low_complexity_9	32	0	11	3	0	0	0	0	0	0
chr1	198190	198235	Low_complexity_10	32	0	11	3	0	0	0	0	0	0
chr1	279634	279672	Low_complexity_11	25	5	2	7	0	1	0	0	0	0
chr1	279634	279672	Low_complexity_12	25	5	2	7	0	1	0	0	0	0
chr1	463830	463868	Low_complexity_13	20	13	6	0	0	0	0	0	0	0
chr1	463830	463868	Low_complexity_14	20	13	6	0	0	0	0	0	0	0
chr1	509520	509548	Low_complexity_15	24	1	4	0	0	0	0	0	0	0
chr1	509520	509548	Low_complexity_16	24	1	4	0	0	0	0	0	0	0
chr1	518398	518425	Low_complexity_17	24	1	0	3	0	0	0	0	0	0
chr1	518398	518425	Low_complexity_18	24	1	0	3	0	0	0	0	0	0
chr1	539890	539923	Low_complexity_19	24	2	2	6	0	1	0	0	0	0
chr1	539890	539923	Low_complexity_20	24	2	2	6	0	1	0	0	0	0
chr1	602446	602481	Low_complexity_21	16	3	16	1	0	0	0	0	0	0
chr1	602446	602481	Low_complexity_22	16	3	16	1	0	0	0	0	0	0
chr1	738647	738700	Low_complexity_23	36	6	3	9	0	0	0	0	0	0
chr1	738647	738700	Low_complexity_24	36	6	3	9	0	0	0	0	0	0
chr1	755863	755904	Low_complexity_25	35	4	1	2	0	0	0	0	0	0
chr1	755863	755904	Low_complexity_26	35	4	1	2	0	0	0	0	0	0
chr1	758002	758035	Low_complexity_27	26	2	6	0	0	0	0	0	0	0
chr1	758002	758035	Low_complexity_28	26	2	6	0	0	0	0	0	0	0
chr1	803949	803996	Low_complexity_29	36	7	1	4	0	0	0	0	0	0
chr1	803949	803996	Low_complexity_30	36	7	1	4	0	0	0	0	0	0
chr1	918427	918466	Low_complexity_31	29	2	5	4	0	0	0	0	0	0
chr1	918427	918466	Low_complexity_32	29	2	5	4	0	0	0	0	0	0
chr1	945489	945522	Low_complexity_33	25	0	3	6	0	0	0	0	0	0
chr1	945489	945522	Low_complexity_34	25	0	3	6	0	0	0	0	0	0
chr1	981383	981432	Low_complexity_35	28	6	15	1	0	1	0	1	0	0
chr1	981383	981432	Low_complexity_36	28	6	15	1	0	1	0	1	0	0
chr1	1057847	1057891	Low_complexity_37	15	4	22	4	0	0	0	0	0	0
chr1	1057847	1057891	Low_complexity_38	15	4	22	4	0	0	0	0	0	0
chr1	1084054	1084088	Low_complexity_39	23	5	6	1	0	0	0	0	0	0
chr1	1084054	1084088	Low_complexity_40	23	5	6	1	0	0	0	0	0	0
chr1	1093713	1093741	Low_complexity_41	19	2	6	2	0	0	0	0	0	0
chr1	1093713	1093741	Low_complexity_42	19	2	6	2	0	0	0	0	0	0
chr1	1114155	1114192	Low_complexity_43	26	9	1	2	0	0	0	0	0	0
chr1	1114155	1114192	Low_complexity_44	26	9	1	2	0	0	0	0	0	0
chr1	1174245	1174286	Low_complexity_45	35	2	0	5	0	1	0	0	1	0
chr1	1174245	1174286	Low_complexity_46	35	2	0	5	0	1	0	0	1	0
chr1	1174875	1174907	Low_complexity_47	25	0	5	3	0	0	0	0	0	0
chr1	1174875	1174907	Low_complexity_48	25	0	5	3	0	0	0	0	0	0
chr1	1179854	1179908	Low_complexity_49	38	6	2	9	0	1	0	0	1	0
chr1	1179854	1179908	Low_complexity_50	38	6	2	9	0	1	0	0	1	0
chr1	1180148	1180193	Low_complexity_51	32	1	10	3	0	0	0	0	0	0
chr1	1180148	1180193	Low_complexity_52	32	1	10	3	0	0	0	0	0	0
chr1	1195864	1195938	Low_complexity_53	52	3	19	1	0	0	0	0	0	0
chr1	1195864	1195938	Low_complexity_54	52	3	19	1	0	0	0	0	0	0
chr1	1239646	1239717	Low_complexity_55	14	29	26	3	0	2	0	0	1	1
chr1	1239646	1239717	Low_complexity_56	14	29	26	3	0	2	0	0	1	1
chr1	1286144	1286172	Low_complexity_57	20	3	5	1	0	0	0	0	0	0
chr1	1286144	1286172	Low_complexity_58	20	3	5	1	0	0	0	0	0	0
chr1	1365401	1365488	Low_complexity_59	50	27	6	5	0	5	0	0	2	0
chr1	1365401	1365488	Low_complexity_60	50	27	6	5	0	5	0	0	2	0
chr1	1366036	1366084	Low_complexity_61	30	14	3	2	0	1	0	0	1	0
chr1	1366036	1366084	Low_complexity_62	30	14	3	2	0	1	0	0	1	0
chr1	1373192	1373225	Low_complexity_63	23	5	1	5	0	0	0	0	0	0
chr1	1373192	1373225	Low_complexity_64	23	5	1	5	0	0	0	0	0	0
chr1	1455322	1455350	Low_complexity_65	17	2	10	0	0	0	0	0	0	0
chr1	1455322	1455350	Low_complexity_66	17	2	10	0	0	0	0	0	0	0
chr1	1466781	1466830	Low_complexity_67	14	17	18	1	0	1	0	0	0	1
chr1	1466781	1466830	Low_complexity_68	14	17	18	1	0	1	0	0	0	1
chr1	1505336	1505394	Low_complexity_69	36	14	5	4	0	0	0	0	0	0
chr1	1505336	1505394	Low_complexity_70	36	14	5	4	0	0	0	0	0	0
chr1	1519277	1519339	Low_complexity_71	36	6	13	8	0	0	0	0	0	0
chr1	1519277	1519339	Low_complexity_72	36	6	13	8	0	0	0	0	0	0
chr1	1529372	1529487	Low_complexity_73	74	7	31	4	0	0	0	0	0	0
chr1	1529372	1529487	Low_complexity_74	74	7	31	4	0	0	0	0	0	0
chr1	1592645	1592701	Low_complexity_75	40	9	3	5	0	0	0	0	0	0
chr1	1592645	1592701	Low_complexity_76	40	9	3	5	0	0	0	0	0	0
chr1	1594372	1594434	Low_complexity_77	27	24	8	4	0	1	0	0	0	0
chr1	1594372	1594434	Low_complexity_78	27	24	8	4	0	1	0	0	0	0
chr1	1595671	1595775	Low_complexity_79	41	46	13	5	0	3	0	0	2	0
chr1	1595671	1595775	Low_complexity_80	41	46	13	5	0	3	0	0	2	0
chr1	1596406	1596446	Low_complexity_81	29	2	4	6	0	0	0	0	0	0
chr1	1596406	1596446	Low_complexity_82	29	2	4	6	0	0	0	0	0	0
