chr	start	end	name	nM	nU	NcpgMeasured	Nmcpg	mCpG_per_CpG	fracMeth	mnMeth	medMeth	sdMeth	stdErrMeth	maxMeth	minMeth
chr10	85963	86389	Amillepora16770-RA:three_prime_utr	168	60	83	73	0.8795180722891566	0.7368421052631579	75.77022375215147	100	35.372988552616036	3.8826899121016885	100	0
chr10	56203	57415	Amillepora16769-RA:three_prime_utr	42	1891	438	22	0.0502283105022831	0.02172788411795137	2.0160508034516686	0	8.570306236507104	0.4095050721066566	100	0
chr10	129472	129691	Amillepora16774-RA:three_prime_utr	3	152	47	0	0	0.01935483870967742	0.8013263332412275	0	3.1644357642021723	0.46158039584098365	14.2857142857143	0
chr10	129293	129450	Amillepora16774-RA:three_prime_utr	2	55	21	2	0.09523809523809523	0.03508771929824561	3.3333333333333335	0	11.547005383792516	2.5197631533948486	50	0
chr10	116856	117778	Amillepora16773-RA:three_prime_utr	27	1334	245	13	0.053061224489795916	0.019838354151359296	1.9103838338532217	0	6.4408574211971725	0.41149128649088235	50	0
chr10	171170	171644	Amillepora16777-RA:three_prime_utr	5	257	105	4	0.0380952380952381	0.019083969465648856	2.063492063492063	0	11.250650051313766	1.0979510205795526	100	0
chr10	207171	207866	Amillepora16779-RA:three_prime_utr	35	2035	326	14	0.04294478527607362	0.016908212560386472	1.7755819638690156	0	7.175393252573914	0.39740827675423446	66.6666666666667	0
chr10	299611	301430	Amillepora16784-RA:three_prime_utr	80	4304	980	40	0.04081632653061224	0.01824817518248175	2.152578330699579	0	10.982600961501525	0.35082631885245424	100	0
chr10	374803	375452	Amillepora16795-RA:three_prime_utr	246	115	72	59	0.8194444444444444	0.6814404432132964	70.25097202180535	82.85714285714285	36.38997560292679	4.288599752673758	100	0
chr10	308237	308641	Amillepora16787-RA:three_prime_utr	22	1183	202	7	0.034653465346534656	0.018257261410788383	1.7504639119374126	0	6.543688214995139	0.4604122961551123	50	0
chr10	368715	368780	Amillepora16794-RA:three_prime_utr	12	260	31	2	0.06451612903225806	0.04411764705882353	5.263696876600103	0	8.430228742708831	1.5141137794890185	33.3333333333333	0
chr10	365516	365756	Amillepora16794-RA:three_prime_utr	22	1022	135	5	0.037037037037037035	0.0210727969348659	1.8274544385655493	0	5.040156615115354	0.4337876140581978	25	0
chr10	365223	365351	Amillepora16794-RA:three_prime_utr	7	498	63	1	0.015873015873015872	0.013861386138613862	0.9133855562426993	0	2.9750315371094573	0.3748187423698023	14.2857142857143	0
chr10	364491	364676	Amillepora16794-RA:three_prime_utr	24	1341	170	7	0.041176470588235294	0.017582417582417582	1.788715300493467	0	9.530869922040859	0.73098435434638	100	0
chr10	364077	364311	Amillepora16794-RA:three_prime_utr	28	1532	161	8	0.049689440993788817	0.017948717948717947	1.5757016295927515	0	4.6341994910620254	0.3652260843493927	25	0
chr10	363589	363705	Amillepora16794-RA:three_prime_utr	15	799	123	3	0.024390243902439025	0.018427518427518427	1.1896477256601885	0	4.228360495626761	0.3812584263333979	25	0
chr10	363317	363426	Amillepora16794-RA:three_prime_utr	12	647	80	4	0.05	0.018209408194233688	3.0094696969696977	0	12.672862348515013	1.41686908403886	100	0
chr10	362880	363156	Amillepora16794-RA:three_prime_utr	16	893	129	5	0.03875968992248062	0.0176017601760176	1.2186754154318413	0	4.521461598600628	0.39809249624044285	30	0
chr10	362165	362323	Amillepora16794-RA:three_prime_utr	12	651	80	3	0.0375	0.01809954751131222	2.2063492063492056	0	7.559947597518118	0.8452278367193363	40	0
chr10	361003	361833	Amillepora16794-RA:three_prime_utr	77	4263	486	14	0.02880658436213992	0.017741935483870968	1.7640180077313259	0	7.270480890883412	0.32979571050592704	100	0
chr10	340754	341965	Amillepora16792-RA:three_prime_utr	80	4369	727	29	0.039889958734525444	0.01798156889188582	1.8869172886881658	0	8.740447869219517	0.32416526800826073	100	0
chr10	334969	335988	Amillepora16791-RA:three_prime_utr	17	1071	251	8	0.03187250996015936	0.015625	1.0866906667973504	0	6.197582680699256	0.3911879500793239	66.6666666666667	0
chr10	315180	315352	Amillepora16788-RA:three_prime_utr	1	36	14	1	0.07142857142857142	0.02702702702702703	3.5714285714285716	0	13.363062095621222	3.5714285714285716	50	0
chr10	393603	394573	Amillepora16796-RA:three_prime_utr	23	1409	350	8	0.022857142857142857	0.01606145251396648	1.7526386312100601	0	10.22692707877527	0.5466522464042549	100	0
chr10	431510	431783	Amillepora16800-RA:three_prime_utr	11	46	34	9	0.2647058823529412	0.19298245614035087	19.6078431372549	0	36.57716078142025	6.272931322543635	100	0
chr10	432005	432271	Amillepora16800-RA:three_prime_utr	4	37	16	4	0.25	0.0975609756097561	20.833333333333332	0	40.13864859597432	10.03466214899358	100	0
chr10	432816	433019	Amillepora16800-RA:three_prime_utr	0	1	1	0	0	0	0	0	NA	NA	0	0
chr10	417666	418133	Amillepora16798-RA:three_prime_utr	13	612	168	7	0.041666666666666664	0.0208	2.549152236652237	0	12.357633929140343	0.9534121564357827	100	0
chr10	402308	403950	Amillepora16797-RA:three_prime_utr	157	726	266	57	0.21428571428571427	0.17780294450736125	17.408863066757803	0	34.76040363563418	2.1312970925383548	100	0
chr10	557034	557208	Amillepora16812-RA:three_prime_utr	2	46	14	0	0	0.041666666666666664	2.0833333333333357	0	5.358414582468112	1.4320965359920725	16.6666666666667	0
chr10	530194	530628	Amillepora16808-RA:three_prime_utr	38	7	11	10	0.9090909090909091	0.8444444444444444	83.45959595959596	100	30.010636909630243	9.048547486257675	100	0
chr10	582743	583442	Amillepora16815-RA:three_prime_utr	13	531	186	5	0.026881720430107527	0.02389705882352941	1.5597798259088587	0	8.742917791267159	0.6410618354790953	100	0
chr10	557392	557631	Amillepora16813-RA:three_prime_utr	0	1	1	0	0	0	0	0	NA	NA	0	0
chr10	520681	520777	Amillepora16807-RA:three_prime_utr	47	1	16	16	1	0.9791666666666666	98.75	100	5	1.25	100	80
chr10	567639	567785	Amillepora16814-RA:three_prime_utr	7	471	60	3	0.05	0.014644351464435146	1.658526658526658	0	6.344042122753317	0.8190123163020651	33.3333333333333	0
chr10	567450	567542	Amillepora16814-RA:three_prime_utr	5	261	49	3	0.061224489795918366	0.018796992481203006	2.1282798833819245	0	6.7252963591817965	0.9607566227402566	33.3333333333333	0
chr10	567230	567312	Amillepora16814-RA:three_prime_utr	9	444	35	3	0.08571428571428572	0.019867549668874173	2.494663382594417	0	6.268898364753742	1.0596372250864523	25	0
chr10	566945	567107	Amillepora16814-RA:three_prime_utr	16	986	132	7	0.05303030303030303	0.015968063872255488	1.7441050111504657	0	6.375680412989805	0.5549317507079605	50	0
chr10	566558	566851	Amillepora16814-RA:three_prime_utr	44	2256	213	8	0.03755868544600939	0.019130434782608695	2.1290211180104675	0	8.100242991727987	0.5550195044791597	100	0
chr10	565075	566169	Amillepora16814-RA:three_prime_utr	137	7643	917	40	0.04362050163576881	0.017609254498714654	1.8106613276159491	0	6.289372979880948	0.20769339368352271	50	0
chr10	564707	564827	Amillepora16814-RA:three_prime_utr	16	1358	115	1	0.008695652173913044	0.011644832605531296	1.2066889490163142	0	4.026530302063179	0.37547588671992377	33.3333333333333	0
chr10	564472	564535	Amillepora16814-RA:three_prime_utr	13	564	64	4	0.0625	0.022530329289428077	2.5904165963787675	0	8.130182821175055	1.0162728526468823	50	0
chr10	564206	564266	Amillepora16814-RA:three_prime_utr	11	780	48	2	0.041666666666666664	0.01390644753476612	0.7553977289545352	0	2.1970922620860693	0.3171229522374589	11.5384615384615	0
chr10	563543	563669	Amillepora16814-RA:three_prime_utr	15	945	111	4	0.036036036036036036	0.015625	1.3568195791577133	0	5.512875564957003	0.5232589922067509	36.3636363636364	0
chr10	563155	563274	Amillepora16814-RA:three_prime_utr	6	594	94	2	0.02127659574468085	0.01	1.5937066688005361	0	10.569121193708801	1.090121615347534	100	0
chr10	562754	562862	Amillepora16814-RA:three_prime_utr	101	561	64	23	0.359375	0.15256797583081572	13.559273994955744	0	18.08962396846037	2.2612029960575466	66.6666666666667	0
chr10	562328	562419	Amillepora16814-RA:three_prime_utr	12	827	96	3	0.03125	0.014302741358760428	1.7804201007326013	0	6.441558784521731	0.6574388404258688	50	0
chr10	561324	562010	Amillepora16814-RA:three_prime_utr	112	5235	578	32	0.05536332179930796	0.02094632504207967	2.022955226815438	0	5.899560195889706	0.24538935414893287	50	0
chr10	543127	544233	Amillepora16811-RA:three_prime_utr	64	2514	511	30	0.05870841487279843	0.02482544608223429	2.643556784082857	0	10.874166834463779	0.4810448192107818	100	0
chr10	530873	532525	Amillepora16809-RA:three_prime_utr	219	71	58	45	0.7758620689655172	0.7551724137931034	60.3532188737564	65.7142857142857	40.963896831375365	5.378823168961594	100	0
chr10	469024	469560	Amillepora16803-RA:three_prime_utr	14	1046	227	7	0.030837004405286344	0.013207547169811321	1.0523739598629465	0	5.810516616218673	0.3856575330623328	50	0
chr10	535880	538052	Amillepora16810-RA:three_prime_utr	718	384	202	147	0.7277227722772277	0.6515426497277677	56.15174733495833	66.6666666666667	39.77432177198204	2.798511514207915	100	0
chr10	605646	606079	Amillepora16817-RA:three_prime_utr	20	779	151	12	0.07947019867549669	0.025031289111389236	2.1315291540108547	0	6.992070805503479	0.569006652442949	33.3333333333333	0
chr10	613779	613827	Amillepora16818-RA:three_prime_utr	2	34	14	2	0.14285714285714285	0.05555555555555555	9.523809523809522	0	27.514010195185232	7.353428534756311	100	0
chr10	675740	676378	Amillepora16824-RA:three_prime_utr	17	1368	241	6	0.024896265560165973	0.01227436823104693	0.9023549065042841	0	4.148334223099057	0.2672176978334609	33.3333333333333	0
chr10	593510	593833	Amillepora16816-RA:three_prime_utr	24	1592	252	7	0.027777777777777776	0.01485148514851485	1.7704219735032054	0	8.572833032254469	0.5400377198720249	100	0
chr10	668316	668384	Amillepora16823-RA:three_prime_utr	1	120	32	0	0	0.008264462809917356	0.5208333333333344	0	2.946278254943951	0.5208333333333344	16.6666666666667	0
chr10	635745	636476	Amillepora16821-RA:three_prime_utr	26	2059	365	8	0.021917808219178082	0.012470023980815348	0.950415229873554	0	4.645788848587762	0.24317170226536786	50	0
chr10	614392	614697	Amillepora16819-RA:three_prime_utr	0	112	36	0	0	0	0	0	0	0	0	0
chr10	621996	622323	Amillepora16820-RA:three_prime_utr	10	316	97	6	0.061855670103092786	0.03067484662576687	1.9477544219812257	0	7.051648038304207	0.7159863793564178	40	0
chr10	743996	744377	Amillepora16826-RA:three_prime_utr	8	240	84	5	0.05952380952380952	0.03225806451612903	3.194444444444444	0	13.383960943271322	1.4603098600207982	100	0
chr10	692189	693659	Amillepora16825-RA:three_prime_utr	111	102	66	42	0.6363636363636364	0.5211267605633803	47.09912982640255	50	41.40324717445288	5.096387426089249	100	0
chr10	694474	694556	Amillepora16825-RA:three_prime_utr	4	89	15	1	0.06666666666666667	0.043010752688172046	3.8518518518518534	0	6.962568940782136	1.7977275702980153	20	0
chr10	694738	694941	Amillepora16825-RA:three_prime_utr	6	315	63	3	0.047619047619047616	0.018691588785046728	3.4656084656084665	0	14.493545675426077	1.826015117749194	100	0
chr10	802490	802558	Amillepora16829-RA:three_prime_utr	30	5	13	13	1	0.8571428571428571	90.34188034188034	100	16.563785025137648	4.593967401838182	100	50
chr10	919049	920006	Amillepora16841-RA:three_prime_utr	32	35	34	25	0.7352941176470589	0.47761194029850745	61.22549019607843	100	44.20892551137464	7.581768175871314	100	0
chr10	956367	956793	Amillepora16843-RA:three_prime_utr	292	459	115	60	0.5217391304347826	0.38881491344873503	31.67361689146689	20	35.39000925639651	3.3001353795258956	100	0
chr10	876575	876772	Amillepora16836-RA:three_prime_utr	9	683	142	4	0.028169014084507043	0.01300578034682081	1.7365302928683213	0	9.874194950732202	0.8286240330841753	100	0
chr10	862727	862816	Amillepora16834-RA:three_prime_utr	10	344	27	2	0.07407407407407407	0.02824858757062147	1.3848124478876023	0	2.461447995676929	0.4737058876334467	6.45161290322581	0
chr10	1022271	1022431	Amillepora16849-RA:three_prime_utr	9	631	108	4	0.037037037037037035	0.0140625	1.1985596707818928	0	4.862338244184566	0.4678787156951613	25	0
chr10	1023181	1023926	Amillepora16849-RA:three_prime_utr	48	2500	433	13	0.03002309468822171	0.018838304552590265	1.4147959532060663	0	5.259147918312211	0.25273851984805035	50	0
chr10	990731	991593	Amillepora16846-RA:three_prime_utr	28	1275	308	15	0.048701298701298704	0.021488871834228703	2.3180904593242255	0	9.725564664557728	0.5541654777842431	100	0
chr10	1033917	1034004	Amillepora16850-RA:three_prime_utr	48	24	15	12	0.8	0.6666666666666666	59.74747474747475	55.5555555555556	37.378343969445375	9.651046913498293	100	0
chr10	1033143	1033230	Amillepora16850-RA:three_prime_utr	2	0	1	1	1	1	100	100	NA	NA	100	100
chr10	1032131	1032187	Amillepora16850-RA:three_prime_utr	40	16	23	21	0.9130434782608695	0.7142857142857143	77.17391304347827	100	32.533722918248806	6.783750171393875	100	0
chr10	1030145	1030987	Amillepora16850-RA:three_prime_utr	56	3037	384	12	0.03125	0.018105399288716458	1.4698597362849328	0	5.224766051299726	0.2666252260645931	50	0
chr10	1029346	1029479	Amillepora16850-RA:three_prime_utr	18	1127	166	4	0.024096385542168676	0.01572052401746725	1.685831984379114	0	6.322297837671871	0.49070547903810274	50	0
chr10	1028622	1028900	Amillepora16850-RA:three_prime_utr	49	2207	205	11	0.05365853658536585	0.02171985815602837	1.7678038288774451	0	5.316824030616518	0.3713430980258298	40	0
chr10	1027942	1028098	Amillepora16850-RA:three_prime_utr	10	976	99	1	0.010101010101010102	0.010141987829614604	0.8562555053783124	0	3.0400462607779244	0.305536145221918	16.6666666666667	0
chr10	1026335	1027561	Amillepora16850-RA:three_prime_utr	55	3783	655	19	0.02900763358778626	0.0143303804064617	1.389984531436768	0	7.031928478542738	0.274760181697278	100	0
chr10	1048299	1048614	Amillepora16851-RA:three_prime_utr	8	827	130	1	0.007692307692307693	0.009580838323353293	0.31854100200874386	0	1.56375358391563	0.13715026209933107	11.1111111111111	0
chr10	1040973	1041333	Amillepora16851-RA:three_prime_utr	6	469	124	3	0.024193548387096774	0.01263157894736842	2.0739887352790576	0	13.013026528888373	1.1686042800017176	100	0
chr10	1129327	1129613	Amillepora16855-RA:three_prime_utr	197	138	65	45	0.6923076923076923	0.5880597014925373	56.35603869814396	66.6666666666667	41.54595843188303	5.1531419273529	100	0
chr10	1130820	1130902	Amillepora16855-RA:three_prime_utr	12	29	13	5	0.38461538461538464	0.2926829268292683	23.846153846153847	0	33.96883522262378	9.421259781765945	100	0
chr10	1131165	1131223	Amillepora16855-RA:three_prime_utr	34	230	49	14	0.2857142857142857	0.12878787878787878	11.297812165159106	0	16.634406955556322	2.3763438507937606	66.6666666666667	0
chr10	1131732	1131814	Amillepora16855-RA:three_prime_utr	12	543	59	2	0.03389830508474576	0.021621621621621623	3.2796666333555673	0	13.3988694672281	1.7443842243126368	100	0
chr10	1131980	1132094	Amillepora16855-RA:three_prime_utr	4	397	54	1	0.018518518518518517	0.00997506234413965	1.6358024691358037	0	9.319007090855061	1.2681562378873985	66.6666666666667	0
chr10	1132661	1132719	Amillepora16855-RA:three_prime_utr	10	381	51	3	0.058823529411764705	0.02557544757033248	2.3306304102151856	0	8.169244639420876	1.1439230570133632	50	0
chr10	1132905	1133015	Amillepora16855-RA:three_prime_utr	2	224	28	2	0.07142857142857142	0.008849557522123894	5.357142857142857	0	20.81348260625929	3.933378492380756	100	0
chr10	1133490	1133558	Amillepora16855-RA:three_prime_utr	2	80	15	1	0.06666666666666667	0.024390243902439025	1.1111111111111134	0	4.303314829119361	1.1111111111111134	16.6666666666667	0
chr10	1133765	1133830	Amillepora16855-RA:three_prime_utr	3	202	30	2	0.06666666666666667	0.014634146341463415	1.5	0	5.746063120024905	1.049082795895385	25	0
chr10	1133924	1134241	Amillepora16855-RA:three_prime_utr	7	280	102	5	0.049019607843137254	0.024390243902439025	1.835511982570806	0	7.915559903987125	0.7837572190217542	50	0
chr10	1166914	1167364	Amillepora16859-RA:three_prime_utr	3	132	63	1	0.015873015873015872	0.022222222222222223	1.9961519961519967	0	12.769287227182202	1.608778972508456	100	0
chr10	1136346	1137072	Amillepora16856-RA:three_prime_utr	309	150	99	80	0.8080808080808081	0.673202614379085	62.95613197128348	75	38.13775800837653	3.832988898762328	100	0
chr10	1108250	1109081	Amillepora16854-RA:three_prime_utr	16	757	187	7	0.0374331550802139	0.02069857697283312	2.0241067841687035	0	9.700811113730161	0.7093935659136846	100	0
chr10	1259999	1260103	Amillepora16872-RA:three_prime_utr	9	102	35	5	0.14285714285714285	0.08108108108108109	7.239621489621488	0	19.571421108425557	3.308173964173873	100	0
chr10	1187532	1188142	Amillepora16861-RA:three_prime_utr	23	1075	245	11	0.044897959183673466	0.020947176684881604	2.3847599645918973	0	11.05713492070183	0.706414437687888	100	0
chr10	1201565	1203039	Amillepora16863-RA:three_prime_utr	50	2541	489	23	0.04703476482617587	0.0192975685063682	2.3597974363895844	0	10.760392725744689	0.4866017793233139	100	0
chr10	1193724	1194294	Amillepora16862-RA:three_prime_utr	5	360	108	3	0.027777777777777776	0.0136986301369863	1.8555261610817166	0	11.05664973959404	1.0639266172483388	100	0
chr10	1210027	1210098	Amillepora16864-RA:three_prime_utr	3	238	70	3	0.04285714285714286	0.012448132780082987	1.7142857142857142	0	8.676376150536015	1.0370253000467253	50	0
chr10	1341908	1343071	Amillepora16877-RA:three_prime_utr	101	5921	680	30	0.04411764705882353	0.0167718365991365	1.8778641799536198	0	6.669994061157466	0.25578259603638154	66.6666666666667	0
chr10	1311280	1313568	Amillepora16875-RA:three_prime_utr	747	210	213	184	0.863849765258216	0.780564263322884	78.09910184261555	100	35.67146536331685	2.444168532994858	100	0
chr10	1277162	1278830	Amillepora16874-RA:three_prime_utr	107	7681	1016	29	0.028543307086614175	0.013739085772984078	1.5582835469230576	0	8.40729647034703	0.2637603487918411	100	0
chr10	1488881	1489453	Amillepora16891-RA:three_prime_utr	23	796	190	12	0.06315789473684211	0.028083028083028084	3.127420824789246	0	12.837717362235455	0.9313459051926771	100	0
chr10	1474231	1474635	Amillepora16890-RA:three_prime_utr	50	101	40	18	0.45	0.33112582781456956	25.543380230880228	12.6984126984127	30.271353880053727	4.786321305897265	100	0
chr10	1392919	1393066	Amillepora16878-RA:three_prime_utr	117	10	28	27	0.9642857142857143	0.9212598425196851	90.53687384044527	100	21.349896859681586	4.0347512576854525	100	0
chr10	1392688	1392794	Amillepora16878-RA:three_prime_utr	62	6	24	24	1	0.9117647058823529	92.70833333333334	100	13.30442972252271	2.715755344908251	100	66.6666666666667
chr10	1392092	1392142	Amillepora16878-RA:three_prime_utr	19	8	23	17	0.7391304347826086	0.7037037037037037	69.56521739130434	100	44.56642242658858	9.292741458900196	100	0
chr10	1391321	1391452	Amillepora16878-RA:three_prime_utr	549	15	65	65	1	0.973404255319149	97.57360374668067	100	6.210546324405612	0.770323465001634	100	71.4285714285714
chr10	1389896	1389993	Amillepora16878-RA:three_prime_utr	303	64	41	39	0.9512195121951219	0.8256130790190735	82.62015655147876	94.4444444444444	25.48500410003123	3.9800889620484257	100	0
chr10	1389337	1389500	Amillepora16878-RA:three_prime_utr	128	31	61	50	0.819672131147541	0.8050314465408805	75.38251366120218	100	38.2709558216427	4.900093775452829	100	0
chr10	1388576	1388655	Amillepora16878-RA:three_prime_utr	0	1	1	0	0	0	0	0	NA	NA	0	0
chr10	1387918	1387998	Amillepora16878-RA:three_prime_utr	331	17	60	58	0.9666666666666667	0.9511494252873564	93.69123931623932	100	19.425704756011957	2.5078477002792177	100	0
chr10	1387571	1387721	Amillepora16878-RA:three_prime_utr	315	70	43	34	0.7906976744186046	0.8181818181818182	73.11466107671738	92.8571428571429	40.35424566089453	6.15396477013713	100	0
chr10	1387052	1387143	Amillepora16878-RA:three_prime_utr	98	9	14	14	1	0.9158878504672897	94.72222222222223	100	8.652711754285702	2.3125344893606297	100	75
chr10	1386310	1386465	Amillepora16878-RA:three_prime_utr	430	96	91	88	0.967032967032967	0.8174904942965779	79.77248941534656	100	26.494651529149383	2.777394145223848	100	0
chr10	1386156	1386222	Amillepora16878-RA:three_prime_utr	0	1	1	0	0	0	0	0	NA	NA	0	0
chr10	1385870	1386024	Amillepora16878-RA:three_prime_utr	91	22	41	35	0.8536585365853658	0.8053097345132744	78.44560588463028	100	37.517468743912005	5.8592442302749355	100	0
chr10	1385541	1385721	Amillepora16878-RA:three_prime_utr	295	68	59	58	0.9830508474576272	0.8126721763085399	79.68064891793705	90	24.635799016435527	3.207307845092194	100	0
