chr	start	end	name	NcpgMeasured	Nmcpg	mCpG_per_CpG	fracMeth	mnMeth	medMeth	sdMeth	stdErrMeth	maxMeth	minMeth
chr10	78574	86389	Amillepora16770	1	0	0	0	0	0	NA	NA	0	0
chr10	56203	78368	Amillepora16769	7	3	0.42857142857142855	0.375	42.857142857142854	0	53.452248382484875	20.203050891044217	100	0
chr10	129293	169672	Amillepora16774	16	2	0.125	0.125	12.5	0	34.15650255319866	8.539125638299666	100	0
chr10	90029	110622	Amillepora16771	2	2	1	1	100	100	0	0	100	100
chr10	201101	205740	Amillepora16778	5	0	0	0	0	0	0	0	0	0
chr10	171170	197798	Amillepora16777	24	3	0.125	0.125	12.5	0	33.78319623460881	6.89596605459213	100	0
chr10	207171	226252	Amillepora16779	9	1	0.1111111111111111	0.1111111111111111	11.11111111111111	0	33.333333333333336	11.111111111111112	100	0
chr10	270177	271009	Amillepora16782	1	0	0	0	0	0	NA	NA	0	0
chr10	355437	358209	Amillepora16793	1	0	0	0	0	0	NA	NA	0	0
chr10	290446	301430	Amillepora16784	9	0	0	0	0	0	0	0	0	0
chr10	374803	377778	Amillepora16795	3	0	0	0	0	0	0	0	0	0
chr10	308237	314231	Amillepora16787	3	1	0.3333333333333333	0.3333333333333333	33.333333333333336	0	57.735026918962575	33.333333333333336	100	0
chr10	361003	374285	Amillepora16794	12	1	0.08333333333333333	0.08333333333333333	8.333333333333334	0	28.8675134594813	8.333333333333334	100	0
chr10	340754	348300	Amillepora16792	6	0	0	0	0	0	0	0	0	0
chr10	334969	340469	Amillepora16791	2	0	0	0	0	0	0	0	0	0
chr10	315180	319549	Amillepora16788	3	0	0	0	0	0	0	0	0	0
chr10	319560	321966	Amillepora16789	3	0	0	0	0	0	0	0	0	0
chr10	301858	307307	Amillepora16785	2	0	0	0	0	0	0	0	0	0
chr10	379820	394573	Amillepora16796	8	0	0	0	0	0	0	0	0	0
chr10	407702	418133	Amillepora16798	4	0	0	0	0	0	0	0	0	0
chr10	402308	407282	Amillepora16797	4	0	0	0	0	0	0	0	0	0
chr10	447137	454446	Amillepora16801	1	0	0	0	0	0	NA	NA	0	0
chr10	499826	500605	Amillepora16804	1	0	0	0	0	0	NA	NA	0	0
chr10	578761	583442	Amillepora16815	3	0	0	0	0	0	0	0	0	0
chr10	509028	519995	Amillepora16806	2	1	0.5	0.5	50	50	70.71067811865476	50	100	0
chr10	520681	524138	Amillepora16807	1	0	0	0	0	0	NA	NA	0	0
chr10	561324	577819	Amillepora16814	6	0	0	0	0	0	0	0	0	0
chr10	543127	551955	Amillepora16811	2	1	0.5	0.5	50	50	70.71067811865476	50	100	0
chr10	502299	508613	Amillepora16805	7	1	0.14285714285714285	0.14285714285714285	14.285714285714286	0	37.79644730092272	14.285714285714285	100	0
chr10	530873	534770	Amillepora16809	1	0	0	0	0	0	NA	NA	0	0
chr10	469024	498354	Amillepora16803	12	1	0.08333333333333333	0.08333333333333333	8.333333333333334	0	28.867513459481295	8.333333333333334	100	0
chr10	535880	540044	Amillepora16810	1	1	1	1	100	100	NA	NA	100	100
