chr	start	end	name	m-L5-s1_S1	m-L5-s2_S2	m-L5-t1_S3	m-L5-t2_S4	m-N12-s1_S5	m-N12-s2_S6	m-N12-t1_S7	m-N12-t2_S8	ub-L5-s1_S9	ub-L5-s2_S10	ub-L5-t1_S11	ub-L5-t2_S12	ub-N12-s1_S13	ub-N12-s2_S14	ub-N12-t1_S15	ub-N12-t2_S16	
chr1	150864	150921	DNA_1	4	5	3	4	0	0	0	0	0	2	3	0	0	0	0	0
chr1	150864	150921	DNA_2	4	5	3	4	0	0	0	0	0	2	3	0	0	0	0	0
chr1	266932	266994	DNA_3	5	8	10	15	9	9	2	8	5	13	5	4	9	8	5	5
chr1	266932	266994	DNA_4	5	8	10	15	9	9	2	8	5	13	5	4	9	8	5	5
chr1	319807	319942	DNA_5	0	1	0	0	6	3	1	3	0	0	0	0	15	7	6	5
chr1	319807	319942	DNA_6	0	1	0	0	6	3	1	3	0	0	0	0	15	7	6	5
chr1	387311	387871	DNA_7	23	11	23	12	15	28	22	24	42	38	54	33	43	32	41	29
chr1	387311	387871	DNA_8	23	11	23	12	15	28	22	24	42	38	54	33	43	32	41	29
chr1	403276	404142	DNA_9	25	12	28	23	29	30	24	29	61	77	90	57	94	69	94	56
chr1	403276	404142	DNA_10	25	12	28	23	29	30	24	29	61	77	90	57	94	69	94	56
chr1	470355	470486	DNA_11	4	1	7	5	7	6	6	12	18	16	12	11	26	15	12	9
chr1	470355	470486	DNA_12	4	1	7	5	7	6	6	12	18	16	12	11	26	15	12	9
chr1	518446	518872	DNA_13	81	78	66	75	58	62	64	62	16	27	21	21	26	25	6	4
chr1	518446	518872	DNA_14	81	78	66	75	58	62	64	62	16	27	21	21	26	25	6	4
chr1	563154	563374	DNA_15	32	31	27	41	31	29	23	37	16	18	12	8	15	17	5	4
chr1	563154	563374	DNA_16	32	31	27	41	31	29	23	37	16	18	12	8	15	17	5	4
chr1	693597	694361	DNA_17	266	228	207	209	151	161	126	146	34	61	29	38	45	41	9	5
chr1	693597	694361	DNA_18	266	228	207	209	151	161	126	146	34	61	29	38	45	41	9	5
chr1	718696	718797	DNA_19	29	48	24	48	17	37	17	29	4	11	7	6	12	4	2	1
chr1	718696	718797	DNA_20	29	48	24	48	17	37	17	29	4	11	7	6	12	4	2	1
chr1	930771	931130	DNA_21	21	14	18	17	23	13	22	24	30	37	54	28	48	19	30	20
chr1	930771	931130	DNA_22	21	14	18	17	23	13	22	24	30	37	54	28	48	19	30	20
chr1	1113279	1113926	DNA_23	116	122	133	146	88	72	100	125	85	105	132	87	160	102	65	49
chr1	1113279	1113926	DNA_24	116	122	133	146	88	72	100	125	85	105	132	87	160	102	65	49
chr1	1119617	1120728	DNA_25	191	208	158	180	108	128	99	115	70	73	113	59	88	68	78	57
chr1	1119617	1120728	DNA_26	191	208	158	180	108	128	99	115	70	73	113	59	88	68	78	57
chr1	1134919	1135706	DNA_27	85	59	77	62	71	88	67	111	125	144	148	108	192	143	113	101
chr1	1134919	1135706	DNA_28	85	59	77	62	71	88	67	111	125	144	148	108	192	143	113	101
chr1	1148182	1148779	DNA_29	94	88	80	89	38	48	35	61	57	61	78	51	84	64	45	39
chr1	1148182	1148779	DNA_30	94	88	80	89	38	48	35	61	57	61	78	51	84	64	45	39
chr1	1152865	1152960	DNA_31	17	11	20	14	16	23	16	15	38	33	42	27	41	40	25	33
chr1	1152865	1152960	DNA_32	17	11	20	14	16	23	16	15	38	33	42	27	41	40	25	33
chr1	1190809	1191013	DNA_33	15	7	6	7	19	15	10	11	18	17	27	8	25	15	28	15
chr1	1190809	1191013	DNA_34	15	7	6	7	19	15	10	11	18	17	27	8	25	15	28	15
chr1	1234382	1234758	DNA_35	93	71	91	78	42	51	45	66	81	107	107	71	125	98	84	53
chr1	1234382	1234758	DNA_36	93	71	91	78	42	51	45	66	81	107	107	71	125	98	84	53
chr1	1240823	1242260	DNA_37	57	43	66	48	77	86	80	102	107	120	106	90	177	125	153	95
chr1	1240823	1242260	DNA_38	57	43	66	48	77	86	80	102	107	120	106	90	177	125	153	95
chr1	1285521	1285602	DNA_39	9	13	15	16	5	9	9	10	9	5	7	5	16	17	18	13
chr1	1285521	1285602	DNA_40	9	13	15	16	5	9	9	10	9	5	7	5	16	17	18	13
chr1	1285681	1285788	DNA_41	4	2	0	5	7	11	6	13	3	3	6	1	26	17	19	10
chr1	1285681	1285788	DNA_42	4	2	0	5	7	11	6	13	3	3	6	1	26	17	19	10
