chr	start	end	name	nA	nG	nT	nC	nN	nCpG	nCCG	nCGG	nCGNR	nYNCG
chr1	0	15503	intergenic3765	0	0	0	0	0	0	0	0	0	0
chr1	48020	48411	intergenic3766	148	63	120	61	0	8	1	1	4	4
chr1	49719	53066	intergenic3767	1050	673	1008	617	0	124	15	26	66	58
chr1	54685	55176	intergenic3768	168	86	159	79	0	2	0	1	1	0
chr1	69114	69380	intergenic3769	86	44	87	50	0	6	1	0	3	3
chr1	73239	77282	intergenic3770	1256	816	1229	743	0	133	28	28	65	62
chr1	84565	95361	intergenic3771	3351	2014	3321	2111	0	270	50	46	131	118
chr1	108461	108799	intergenic3772	110	60	115	54	0	1	0	1	0	1
chr1	142141	145359	intergenic3773	946	649	997	627	0	95	14	16	43	48
chr1	153824	167575	intergenic3774	4214	2590	4478	2470	0	290	49	55	138	153
chr1	172242	177098	intergenic3775	1512	913	1463	969	0	121	20	22	66	63
chr1	178497	179424	intergenic3776	254	288	232	154	0	17	1	4	8	7
chr1	195123	196541	intergenic3777	423	315	423	258	0	40	6	10	21	17
chr1	199779	201660	intergenic3778	578	357	547	400	0	95	28	12	42	50
chr1	202136	202227	intergenic3779	19	20	31	22	0	5	0	1	1	3
chr1	206924	216187	intergenic3780	2645	1802	2999	1818	0	281	48	46	130	135
chr1	220026	245669	intergenic3781	7633	5080	8285	4646	0	558	86	108	287	286
chr1	261261	263467	intergenic3782	696	450	644	417	0	80	14	15	44	44
chr1	276757	279971	intergenic3783	1057	659	904	595	0	88	25	21	49	41
chr1	288015	288053	intergenic3784	10	7	12	10	0	0	0	0	0	0
chr1	386099	395023	intergenic3785	2574	1709	2869	1773	0	377	55	63	170	197
chr1	409540	410769	intergenic3786	371	242	402	215	0	35	4	3	14	12
chr1	412411	417200	intergenic3787	1425	899	1567	899	0	151	17	32	68	80
chr1	435453	441161	intergenic3788	1799	1121	1749	1040	0	195	42	40	92	96
chr1	442441	443841	intergenic3789	455	242	478	226	0	20	5	6	8	12
chr1	468430	475579	intergenic3790	2073	1407	2254	1416	0	297	47	55	143	137
chr1	479386	496057	intergenic3791	5331	3184	5070	3087	0	344	66	63	150	144
